image_urls,brand_names,descriptions,event,type
https://cdn-images.farfetch-contents.com/20/13/77/66/20137766_51245788_480.jpg ,Reebok,Classics cropped hoodie,causal,top
https://cdn-images.farfetch-contents.com/17/16/14/85/17161485_34784882_480.jpg ,adidas,Originals embroidered-logo hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/14/01/18/20140118_51611870_480.jpg ,Reebok,appliqué-logo cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/14/00/72/20140072_51248830_480.jpg ,Reebok,logo-embroidery cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/13/85/84/20138584_51245968_480.jpg ,Reebok,Lux logo-embroidered hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/98/59/14/20985914_51041518_480.jpg ,Nike,drop-shoulder hoodie ,causal,top
https://cdn-images.farfetch-contents.com/19/25/86/78/19258678_42325896_480.jpg ,Nike,oversize mélange drawstring hoodie,causal,top
https://cdn-images.farfetch-contents.com/17/89/52/03/17895203_37954650_480.jpg ,UGG,fleece-texture hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/95/34/89/20953489_51025377_480.jpg ,Nike,Phoenix logo-embroidered zip-up hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/79/45/20/20794520_50756707_480.jpg ,Nike,Phoenix logo-embroidered zip-up hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/13/89/75/20138975_51336320_480.jpg ,Reebok,Classics Brand Proud hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/13/77/32/20137732_51245421_480.jpg ,Reebok,Classics Archive Essentials logo-print hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/13/77/19/20137719_51245818_480.jpg ,Reebok,Classics Bround Proud logo-print hoodie,causal,top
https://cdn-images.farfetch-contents.com/18/46/18/78/18461878_40350699_480.jpg ,adidas,embroidered logo-patch hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/13/92/90/20139290_51252568_480.jpg ,Reebok,logo-patch hoodie,causal,top
https://cdn-images.farfetch-contents.com/19/02/70/95/19027095_41811060_480.jpg ,Carhartt WIP,Script embroidered pullover hoodie,causal,top
https://cdn-images.farfetch-contents.com/17/27/78/21/17277821_35638498_480.jpg ,Carhartt WIP,Chase hooded sweatshirt,causal,top
https://cdn-images.farfetch-contents.com/17/41/63/83/17416383_36212817_480.jpg ,Tommy Hilfiger,logo-print drawstring hoodie,causal,top
https://cdn-images.farfetch-contents.com/19/89/01/66/19890166_44921015_480.jpg ,The Upside,Asana Charli cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/17/63/77/51/17637751_36889973_480.jpg ,Tommy Hilfiger,embroidered logo hoodie,causal,top
https://cdn-images.farfetch-contents.com/17/63/77/50/17637750_36890381_480.jpg ,Tommy Hilfiger,embroidered logo hoodie,causal,top
https://cdn-images.farfetch-contents.com/17/52/68/41/17526841_37026552_480.jpg ,Tommy Hilfiger,logo-patch pullover hoodie,causal,top
https://cdn-images.farfetch-contents.com/17/16/25/12/17162512_35051189_480.jpg ,Carhartt WIP,American Script pullover hoodie ,causal,top
https://cdn-images.farfetch-contents.com/20/79/54/71/20795471_50718038_480.jpg ,Nike,logo-embroidered cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/18/53/28/77/18532877_40262922_480.jpg ,Twenty Montreal,mesh colour block hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/51/49/32/21514932_51588520_480.jpg ,The North Face,logo-embossed cotton cropped hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/38/75/16/21387516_51793551_480.jpg ,CHOCOOLATE,graphic-print drawstring hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/38/75/09/21387509_51800739_480.jpg ,CHOCOOLATE,graphic-print drawstring hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/38/75/02/21387502_51800428_480.jpg ,CHOCOOLATE,logo-print long-sleeve hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/34/28/92/21342892_51365349_480.jpg ,STADIUM GOODS®,"x Bacardi ""50 Years of Hip-Hop"" hoodie",causal,top
https://cdn-images.farfetch-contents.com/19/62/22/81/19622281_43845671_480.jpg ,adidas by Stella McCartney,logo-print zip-up hoodie,causal,top
https://cdn-images.farfetch-contents.com/19/57/91/50/19579150_44600071_480.jpg ,Rossignol,logo-print hoodie,causal,top
https://cdn-images.farfetch-contents.com/19/57/82/67/19578267_45239351_480.jpg ,Rossignol,logo-patch cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/19/57/82/63/19578263_44599580_480.jpg ,Rossignol,tricolor logo hooded jacket,causal,top
https://cdn-images.farfetch-contents.com/18/74/82/63/18748263_43994789_480.jpg ,Rossignol,logo-plaque zip-up hoodie ,causal,top
https://cdn-images.farfetch-contents.com/18/01/61/48/18016148_39560641_480.jpg ,Rossignol,cotton zip-up hoodie,causal,top
https://cdn-images.farfetch-contents.com/18/01/49/92/18014992_39554518_480.jpg ,Rossignol,cotton zip-up hoodie,causal,top
https://cdn-images.farfetch-contents.com/18/01/49/87/18014987_40053192_480.jpg ,Rossignol,tonal logo-print hoodie,causal,top
https://cdn-images.farfetch-contents.com/17/21/61/00/17216100_34992774_480.jpg ,Travis Scott,Cross System hoodie,causal,top
https://cdn-images.farfetch-contents.com/19/47/85/78/19478578_43403039_480.jpg ,Autry,logo-print cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/65/31/76/21653176_51587545_480.jpg ,Levi's,logo-patch cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/42/03/53/21420353_51545057_480.jpg ,Patagonia,logo-print cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/33/45/96/21334596_51774565_480.jpg ,Carhartt WIP,logo-embroidered zip-up hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/38/76/85/21387685_51376577_480.jpg ,Tommy Jeans,logo-embroidered drawstring hoodie ,causal,top
https://cdn-images.farfetch-contents.com/19/61/75/05/19617505_43896646_480.jpg ,Twenty Montreal,Sunnyside brushed hoodie,causal,top
https://cdn-images.farfetch-contents.com/19/13/68/74/19136874_50868148_480.jpg ,Twenty Montreal,Sunnyside logo-embroidered hoodie,causal,top
https://cdn-images.farfetch-contents.com/17/71/23/95/17712395_37397930_480.jpg ,Tommy Hilfiger,embroidered-logo pullover hoodie ,causal,top
https://cdn-images.farfetch-contents.com/17/41/63/82/17416382_36217067_480.jpg ,Tommy Hilfiger,embroidered-logo pullover hoodie ,causal,top
https://cdn-images.farfetch-contents.com/17/41/63/81/17416381_36252858_480.jpg ,Tommy Hilfiger,logo-print drawstring hoodie,causal,top
https://cdn-images.farfetch-contents.com/19/13/68/75/19136875_41858556_480.jpg ,Twenty Montreal,Maddux roll-neck cropped hoodie,causal,top
https://cdn-images.farfetch-contents.com/18/61/28/85/18612885_40518009_480.jpg ,STADIUM GOODS®,Outside Packable windbreaker,causal,top
https://cdn-images.farfetch-contents.com/20/98/90/18/20989018_51111776_480.jpg ,CHOCOOLATE,bear-print cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/98/90/03/20989003_51088648_480.jpg ,CHOCOOLATE,bear-print cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/98/83/73/20988373_51086506_480.jpg ,CHOCOOLATE,bear-print cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/98/77/30/20987730_51087432_480.jpg ,CHOCOOLATE,bear-print cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/71/01/30/20710130_51373682_480.jpg ,Calvin Klein Jeans,logo-print cotton blend hoodie ,causal,top
https://cdn-images.farfetch-contents.com/20/70/98/28/20709828_51130538_480.jpg ,Calvin Klein Jeans,logo-print cropped hoodie ,causal,top
https://cdn-images.farfetch-contents.com/19/35/60/79/19356079_42639781_480.jpg ,PUMA,slogan-embroidered cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/55/44/66/21554466_51587646_480.jpg ,Calvin Klein,logo-patch long-sleeve hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/55/44/46/21554446_51591509_480.jpg ,Calvin Klein Jeans,logo-embroidered long-sleeve hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/55/39/99/21553999_51597622_480.jpg ,Calvin Klein Jeans,logo-embroidered long-sleeve hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/51/37/60/20513760_50760884_480.jpg ,The Upside,Recovery logo-print sleeveless hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/36/22/92/20362292_50460998_480.jpg ,Carhartt WIP,oversized embroidered-logo hoodie,causal,top
https://cdn-images.farfetch-contents.com/17/52/01/24/17520124_36377336_480.jpg ,UGG,shearling long-sleeve hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/38/85/00/21388500_51442988_480.jpg ,Calvin Klein Jeans,logo-drawstring jersey hoodie,causal,top
https://cdn-images.farfetch-contents.com/18/71/57/76/18715776_40524247_480.jpg ,Twenty Montreal,Sunnyside reversed-logo hoodie,causal,top
https://cdn-images.farfetch-contents.com/18/66/08/92/18660892_40500099_480.jpg ,Twenty Montreal,Agave Hyper Reality hoodie,causal,top
https://cdn-images.farfetch-contents.com/18/39/91/26/18399126_39527924_480.jpg ,Twenty Montreal,Crystal Azurite Hyper Reality hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/46/49/71/21464971_51645095_480.jpg ,BOSS,logo-print cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/48/66/45/21486645_51526961_480.jpg ,Patagonia,logo-print cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/42/03/50/21420350_51525428_480.jpg ,Patagonia,P-6 logo-flocked long-sleeve hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/39/16/53/21391653_51381782_480.jpg ,Calvin Klein Jeans,monogram-print long-sleeve hoodie,causal,top
https://cdn-images.farfetch-contents.com/17/63/13/33/17631333_36995316_480.jpg ,UGG,Asala recycled-polyester hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/45/55/45/21455545_51643912_480.jpg ,Tommy Jeans,logo-patch cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/19/59/01/25/19590125_43613819_480.jpg ,Twenty Montreal,Atmosphere HRK hoodie,causal,top
https://cdn-images.farfetch-contents.com/19/46/57/72/19465772_43227503_480.jpg ,Twenty Montreal,floral glitch hoodie,causal,top
https://cdn-images.farfetch-contents.com/17/80/98/47/17809847_50280403_480.jpg ,Polo Ralph Lauren,logo-print cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/53/65/43/21536543_51578646_480.jpg ,UGG,Hana terry zip-up hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/53/56/80/21535680_51581109_480.jpg ,UGG,Hana terry zip-up hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/31/98/73/21319873_51593255_480.jpg ,izzue,logo-patch long-sleeve hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/31/98/32/21319832_51595845_480.jpg ,izzue,logo-patch long-sleeve hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/31/89/44/21318944_51590059_480.jpg ,izzue,logo-patch long-sleeve hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/26/29/28/20262928_50534983_480.jpg ,Tommy Jeans,logo-embroidered striped hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/57/17/19/21571719_51590312_480.jpg ,adidas,logo-patch zip-up hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/41/89/64/20418964_50449390_480.jpg ,Carhartt WIP,heart-fleece cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/19/81/27/45/19812745_44909792_480.jpg ,UGG,terry-effect cropped hoodie,causal,top
https://cdn-images.farfetch-contents.com/17/70/25/26/17702526_39398372_480.jpg ,adidas by Stella McCartney,logo-print zip-up hoodie,causal,top
https://cdn-images.farfetch-contents.com/18/91/55/21/18915521_41161620_480.jpg ,Armani Exchange,logo-print zip-up hoodie,causal,top
https://cdn-images.farfetch-contents.com/21/26/82/56/21268256_51762595_480.jpg ,Musium Div.,graphic-print cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/50/27/31/20502731_50516718_480.jpg ,Diesel,cut-out logo hoodie,causal,top
https://cdn-images.farfetch-contents.com/19/88/92/26/19889226_45108891_480.jpg ,The Upside,Dana organic cotton hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/94/69/00/20946900_51367632_480.jpg ,Calvin Klein,logo-print hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/20/84/25/20208425_50527952_480.jpg ,Honor The Gift,Labor zip-up hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/20/84/23/20208423_50528308_480.jpg ,Honor The Gift,Labor zip-up hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/15/70/93/20157093_50171394_480.jpg ,Ba&Sh,Laya slogan-print sleeveless hoodie,causal,top
https://cdn-images.farfetch-contents.com/20/15/64/78/20156478_50171915_480.jpg ,Ba&Sh,Laya slogan-print sleeveless hoodie,causal,top
https://cdn-images.farfetch-contents.com/19/78/81/75/19788175_44474303_480.jpg ,Marine Serre,Moonogram-flocked mesh top,causal,top
