image_urls,brand_names,descriptions,event,type
https://cdn-images.farfetch-contents.com/19/89/66/35/19896635_45195058_480.jpg  ,Lygia & Nanny,Lee elasticated-waist mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/18/22/80/30/18228030_39078373_480.jpg  ,Levi's,raw-edge denim shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/08/68/32/19086832_41934329_480.jpg  ,adidas by Stella McCartney,TruePurpose training shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/89/01/62/19890162_44889312_480.jpg  ,The Upside,Zinnia Soho terry shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/92/72/75/20927275_51278254_480.jpg  ,Lygia & Nanny,Lee elasticated-waist mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/57/91/54/19579154_50311184_480.jpg  ,Rossignol,logo-patch cotton shorts,causal,bottom
https://cdn-images.farfetch-contents.com/18/59/10/53/18591053_40285745_480.jpg  ,Twenty Montreal,Breathe colour-block mesh shorts,causal,bottom
https://cdn-images.farfetch-contents.com/21/10/01/06/21100106_51278169_480.jpg  ,Lygia & Nanny,Lee botanical-print mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/87/94/98/20879498_50863569_480.jpg  ,Sporty & Rich,logo-waistband ribbed-knit biker shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/89/01/72/19890172_44919374_480.jpg  ,The Upside,Triumph stripe-detail mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/25/07/04/19250704_42642451_480.jpg  ,Lygia & Nanny,Lee printed mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/24/38/55/19243855_42291741_480.jpg  ,Lygia & Nanny,Lee-printed mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/16/86/23/64/16862364_33716174_480.jpg  ,Lygia & Nanny,Lee floral-print shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/25/24/02/19252402_42545343_480.jpg  ,STADIUM GOODS®,"Scout ""Reflective Black"" shorts",causal,bottom
https://cdn-images.farfetch-contents.com/20/88/01/90/20880190_50874018_480.jpg  ,Sporty & Rich,logo-waistband ribbed-knit biker shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/93/06/66/20930666_50961865_480.jpg  ,adidas by Stella McCartney,Running Truepace drawstring track shorts,causal,bottom
https://cdn-images.farfetch-contents.com/21/38/88/36/21388836_51381987_480.jpg  ,DES PHEMMES,elasticated-waistband satin mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/51/52/23/20515223_50738508_480.jpg  ,Varley,Harmon drawstring crinkled shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/25/67/50/20256750_50500065_480.jpg  ,Sporty & Rich,Wellness-print cotton shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/94/86/42/20948642_50921163_480.jpg  ,Sporty & Rich,logo-print yoke-waist track shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/23/37/12/20233712_50260524_480.jpg  ,Reformation,Mila linen shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/89/01/79/19890179_45108783_480.jpg  ,The Upside,checkerboard-knit mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/03/09/26/20030926_45181423_480.jpg  ,Sporty & Rich,Stay Hydrated logo-print shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/02/99/12/20029912_45181464_480.jpg  ,Sporty & Rich,logo-print cotton shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/70/00/91/19700091_44069507_480.jpg  ,Sporty & Rich,logo-embroidered track shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/19/75/39/19197539_42142040_480.jpg  ,Sporty & Rich,cotton biker shorts,causal,bottom
https://cdn-images.farfetch-contents.com/21/01/02/95/21010295_51074168_480.jpg  ,DKNY,belted cotton mini shorts ,causal,bottom
https://cdn-images.farfetch-contents.com/21/01/02/87/21010287_51076107_480.jpg  ,DKNY,belted cotton mini shorts ,causal,bottom
https://cdn-images.farfetch-contents.com/20/94/86/23/20948623_50921176_480.jpg  ,Sporty & Rich,logo-print cotton track shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/94/69/75/20946975_51217236_480.jpg  ,Sporty & Rich,Vendome cotton track shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/03/15/43/20031543_45181727_480.jpg  ,Sporty & Rich,logo-print cotton shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/03/14/83/20031483_45184408_480.jpg  ,Sporty & Rich,logo-print elasticated-waistband shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/03/14/35/20031435_50368565_480.jpg  ,Sporty & Rich,Wimbledon mélange-effect shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/86/43/50/20864350_50836608_480.jpg  ,ENTIRE STUDIOS,Con Coulisse track shorts,causal,bottom
https://cdn-images.farfetch-contents.com/21/41/67/87/21416787_51488652_480.jpg  ,Sporty & Rich,SRC-embroidered terry-cloth shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/85/95/33/20859533_50810593_480.jpg  ,Sporty & Rich,high-waist stretch shorts ,causal,bottom
https://cdn-images.farfetch-contents.com/18/59/10/52/18591052_40238680_480.jpg  ,Twenty Montreal,Crystal Azurite track shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/94/58/59/20945859_50922636_480.jpg  ,Sporty & Rich,Ny Tennis Club Terry cotton shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/60/42/34/20604234_50638912_480.jpg  ,Sporty & Rich,logo-print cotton track shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/24/97/66/19249766_42641944_480.jpg  ,Lygia & Nanny,Iara elasticated shorts,causal,bottom
https://cdn-images.farfetch-contents.com/18/59/58/04/18595804_40321715_480.jpg  ,adidas by Stella McCartney,TruePace running shorts,causal,bottom
https://cdn-images.farfetch-contents.com/21/32/02/98/21320298_51577937_480.jpg  ,izzue,logo-patch zip-up denim shorts,causal,bottom
https://cdn-images.farfetch-contents.com/21/31/98/94/21319894_51577771_480.jpg  ,izzue,logo-patch zip-up denim shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/41/16/56/19411656_43333016_480.jpg  ,Maison Close,Rendez-Vous silk mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/31/39/74/20313974_50380587_480.jpg  ,Sporty & Rich,logo-embroidery terry-cloth shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/31/39/92/20313992_50383392_480.jpg  ,Sporty & Rich,logo-embroidered terry-cloth shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/23/37/14/20233714_50258504_480.jpg  ,Reformation,Ethan drawstring shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/50/54/82/19505482_45335808_480.jpg  ,Polo Ralph Lauren,wide-leg chino shorts,causal,bottom
https://cdn-images.farfetch-contents.com/17/98/59/28/17985928_38108601_480.jpg  ,Osklen,side-stripe mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/26/58/21/20265821_50360703_480.jpg  ,Diesel,mid-rise denim mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/68/81/13/19688113_44027912_480.jpg  ,Aries,logo-print striped track shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/65/54/08/19655408_44774743_480.jpg  ,STYLAND,x noRainProof organic cotton track shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/68/25/23/19682523_50441934_480.jpg  ,Oséree,Lumière Lurex shorts,causal,bottom
https://cdn-images.farfetch-contents.com/21/48/92/75/21489275_51596260_480.jpg  ,b+ab,asymmetric belted mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/21/48/92/45/21489245_51602021_480.jpg  ,b+ab,contrasting-trim asymmetric tweed skort,causal,bottom
https://cdn-images.farfetch-contents.com/21/48/63/53/21486353_51595754_480.jpg  ,b+ab,contrasting-trim asymmetric tweed skort,causal,bottom
https://cdn-images.farfetch-contents.com/21/48/39/45/21483945_51595855_480.jpg  ,b+ab,contrasting-trim asymmetric tweed skort,causal,bottom
https://cdn-images.farfetch-contents.com/20/89/90/94/20899094_50876278_480.jpg  ,Sporty & Rich,x Lacoste logo-patch mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/18/93/12/90/18931290_41253575_480.jpg  ,Natasha Zinko,boxer style cotton shorts,causal,bottom
