image_urls,brand_names,descriptions,event,type
https://cdn-images.farfetch-contents.com/20/14/00/37/20140037_51248274_480.jpg ,Reebok,logo-embroidery cropped T-shirt,causal,top
https://cdn-images.farfetch-contents.com/20/13/91/32/20139132_51246281_480.jpg ,Reebok,Classics cropped jersey T-shirt,causal,top
https://cdn-images.farfetch-contents.com/20/13/77/61/20137761_51245926_480.jpg ,Reebok,Classics cropped jersey T-shirt,causal,top
https://cdn-images.farfetch-contents.com/20/13/92/66/20139266_51246703_480.jpg ,Reebok,cut-out-details long-sleeve top,causal,top
https://cdn-images.farfetch-contents.com/20/13/77/89/20137789_51245906_480.jpg ,Reebok,Classics Sporting Goods cotton T-shirt,causal,top
https://cdn-images.farfetch-contents.com/20/14/01/50/20140150_51253412_480.jpg ,Reebok,logo-patch cotton T-shirt,causal,top
https://cdn-images.farfetch-contents.com/20/14/00/63/20140063_51248724_480.jpg ,Reebok,logo-embroidery cotton T-shirt,causal,top
https://cdn-images.farfetch-contents.com/20/13/89/18/20138918_51337418_480.jpg ,Reebok,marbled-pattern cotton T-shirt,causal,top
https://cdn-images.farfetch-contents.com/19/32/33/08/19323308_43523328_480.jpg ,Supreme,x Hanes two-pack Bandana Tagless T-shirt,causal,top
https://cdn-images.farfetch-contents.com/19/24/65/10/19246510_44338929_480.jpg ,Supreme,x Hanes Bandana Tagless crew neck T-shirt (pack of 2),causal,top
https://cdn-images.farfetch-contents.com/19/16/69/19/19166919_41978027_480.jpg ,Supreme,Hanes Bandana Tagless T-shirt pack,causal,top
https://cdn-images.farfetch-contents.com/17/97/79/95/17977995_38126316_480.jpg ,Supreme,Experientia short-sleeve T-shirt,causal,top
https://cdn-images.farfetch-contents.com/20/66/92/40/20669240_51082383_480.jpg ,Armani Exchange,logo-print cotton T-shirt,causal,top
https://cdn-images.farfetch-contents.com/20/66/85/81/20668581_51082327_480.jpg ,Armani Exchange,logo-print cotton T-shirt,causal,top
https://cdn-images.farfetch-contents.com/16/87/62/62/16876262_33596397_480.jpg ,Supreme,Miles Davis graphic-print T-shirt,causal,top
https://cdn-images.farfetch-contents.com/16/87/54/32/16875432_33596367_480.jpg ,Supreme,Miles Davis photograph-print T-shirt,causal,top
https://cdn-images.farfetch-contents.com/20/92/81/97/20928197_51281754_480.jpg ,Lygia & Nanny,boat-neck T-shirt,causal,top
https://cdn-images.farfetch-contents.com/20/92/81/92/20928192_51265119_480.jpg ,Lygia & Nanny,Basic boat-neck T-shirt,causal,top
https://cdn-images.farfetch-contents.com/20/75/43/72/20754372_50850312_480.jpg ,PINKO,logo-print cotton T-shirt,causal,top
https://cdn-images.farfetch-contents.com/20/18/80/88/20188088_50478973_480.jpg ,STADIUM GOODS®,"Stacked Logo ""White Tonal"" cotton T-shirt",causal,top
https://cdn-images.farfetch-contents.com/20/18/80/87/20188087_50479287_480.jpg ,STADIUM GOODS®,"Stacked ""Vintage White/Green"" embroidered-logo T-shirt",causal,top
https://cdn-images.farfetch-contents.com/20/18/80/86/20188086_50067680_480.jpg ,STADIUM GOODS®,"stacked logo ""Black Tonal"" T-shirt",causal,top
https://cdn-images.farfetch-contents.com/20/18/80/85/20188085_50067455_480.jpg ,STADIUM GOODS®,stacked logo embroidered T-shirt,causal,top
https://cdn-images.farfetch-contents.com/20/18/73/13/20187313_50067618_480.jpg ,STADIUM GOODS®,"stacked logo ""Tonal Sand"" T-shirt",causal,top
https://cdn-images.farfetch-contents.com/18/56/25/07/18562507_40725493_480.jpg ,STADIUM GOODS®,Eco heavyweight T-shirt,causal,top
https://cdn-images.farfetch-contents.com/17/79/84/86/17798486_37815366_480.jpg ,STADIUM GOODS®,"Eco Heavyweight ""Washed Navy"" T-shirt",causal,top
https://cdn-images.farfetch-contents.com/17/79/84/84/17798484_37821489_480.jpg ,STADIUM GOODS®,"Eco Heavyweight ""Washed Black"" T-shirt",causal,top
https://cdn-images.farfetch-contents.com/16/84/82/90/16848290_33715014_480.jpg ,Lygia & Nanny,classic short-sleeve T-shirt,causal,top
https://cdn-images.farfetch-contents.com/20/18/11/05/20181105_50167343_480.jpg ,ERL,slogan-print cotton T-shirt,causal,top
https://cdn-images.farfetch-contents.com/20/12/77/27/20127727_50086798_480.jpg ,Polo Ralph Lauren,logo-print cotton T-shirt,causal,top
https://cdn-images.farfetch-contents.com/19/83/99/50/19839950_50140703_480.jpg ,Armani Exchange,logo-print cotton T-shirt,causal,top
https://cdn-images.farfetch-contents.com/18/46/01/03/18460103_42604650_480.jpg ,Filippa K,round-neck short-sleeve T-shirt ,causal,top
https://cdn-images.farfetch-contents.com/18/46/01/01/18460101_42603999_480.jpg ,Filippa K,round-neck short-sleeve T-shirt ,causal,top
https://cdn-images.farfetch-contents.com/18/18/86/22/18188622_38728243_480.jpg ,Comme Des Garçons Play,cotton embroidered-logo T-shirt,causal,top
https://cdn-images.farfetch-contents.com/18/18/86/20/18188620_38733334_480.jpg ,Comme Des Garçons Play,cotton embroidered-logo T-shirt,causal,top
