image_urls,brand_names,descriptions,type
https://cdn-images.farfetch-contents.com/20/87/49/28/20874928_51308185_480.jpg,Valentino Garavani,ruffle-detailed shirt dress,Dress
https://cdn-images.farfetch-contents.com/20/15/27/82/20152782_51656783_480.jpg,Acne Studios,asymmetric semi-sheer minidress,Dress
https://cdn-images.farfetch-contents.com/19/42/32/11/19423211_43353516_480.jpg,Thom Browne,layered stripe-detail shirt dress,Dress
https://cdn-images.farfetch-contents.com/20/84/89/86/20848986_51238992_480.jpg,Stella McCartney,Lucky Spot in Daisy Field silk dress,Dress
https://cdn-images.farfetch-contents.com/21/10/10/33/21101033_51201025_480.jpg,Jacquemus,La Robe Taffetas minidress,Dress
https://cdn-images.farfetch-contents.com/20/87/49/29/20874929_51002712_480.jpg,Valentino Garavani,Crepe Couture mini dress,Dress
https://cdn-images.farfetch-contents.com/19/42/26/96/19422696_43344077_480.jpg,Thom Browne,stripe-detail poplin dress,Dress
https://cdn-images.farfetch-contents.com/20/27/08/50/20270850_51074099_480.jpg,Margherita MACCAPANI,lurex-detail maxi dress,Dress
https://cdn-images.farfetch-contents.com/20/93/50/69/20935069_51259982_480.jpg,Versace,Barocco-print slip minidress,Dress
https://cdn-images.farfetch-contents.com/20/15/42/25/20154225_50420593_480.jpg,Acne Studios,crinkled satin wrap dress,Dress
https://cdn-images.farfetch-contents.com/20/20/73/42/20207342_51101896_480.jpg,SANDRO,crystal-embellished flared minidress,Dress
https://cdn-images.farfetch-contents.com/20/84/32/74/20843274_50696536_480.jpg,Margherita MACCAPANI,Katie asymmetric dress,Dress
https://cdn-images.farfetch-contents.com/20/26/80/06/20268006_51313315_480.jpg,SANDRO,short-sleeve shirt dress,Dress
https://cdn-images.farfetch-contents.com/19/92/19/26/19921926_50811978_480.jpg,Magda Butrym,floral-appliqué ruched halterneck dress,Dress
https://cdn-images.farfetch-contents.com/21/48/80/56/21488056_51416873_480.jpg,Prada,patch-pocket virgin wool minidress,Dress
https://cdn-images.farfetch-contents.com/20/04/60/11/20046011_50338373_480.jpg,Dolce & Gabbana,cherry-print midi dress,Dress
https://cdn-images.farfetch-contents.com/21/48/36/76/21483676_51415561_480.jpg,Miu Miu,polka-dot semi-sheer midi dress,Dress
https://cdn-images.farfetch-contents.com/20/04/52/57/20045257_45266127_480.jpg,Dolce & Gabbana,graphic-print sleeveless dress,Dress
https://cdn-images.farfetch-contents.com/20/92/02/25/20920225_51062966_480.jpg,Prada,graphic-print sleeveless dress,Dress
https://cdn-images.farfetch-contents.com/20/35/98/39/20359839_51614067_480.jpg,Stella McCartney,horse-print panelled midi dress,Dress
https://cdn-images.farfetch-contents.com/20/04/70/27/20047027_51222859_480.jpg,ZIMMERMANN,Luminosity floral-print draped dress,Dress
https://cdn-images.farfetch-contents.com/21/48/51/05/21485105_51405305_480.jpg,Burberry,duck-print silk minidress,Dress
https://cdn-images.farfetch-contents.com/20/74/54/42/20745442_51341930_480.jpg,Ferragamo,ruched long-sleeve minidress,Dress
https://cdn-images.farfetch-contents.com/20/01/01/00/20010100_50251721_480.jpg,Alexander McQueen,knot-embellished midi dress,Dress
https://cdn-images.farfetch-contents.com/21/25/84/88/21258488_51143456_480.jpg,Balmain,polka-dot jacquard minidress,Dress
https://cdn-images.farfetch-contents.com/20/20/63/73/20206373_50585566_480.jpg,SANDRO,crystal-embellished ruched dress,Dress
https://cdn-images.farfetch-contents.com/21/29/19/21/21291921_51197068_480.jpg,Prada,belted gabardine minidress,Dress
https://cdn-images.farfetch-contents.com/20/18/88/88/20188888_50478617_480.jpg,Off-White,geometric-print maxi dress,Dress
https://cdn-images.farfetch-contents.com/17/91/97/97/17919797_39563132_480.jpg,Taller Marmo,Ubud one-shoulder feather-trim gown,Dress
https://cdn-images.farfetch-contents.com/19/84/05/09/19840509_44601500_480.jpg,Marine Serre,fine-ribbed organic cotton T-shirt dress,Dress
https://cdn-images.farfetch-contents.com/20/52/13/75/20521375_50611057_480.jpg,Mugler,Illusion panelled minidress,Dress
https://cdn-images.farfetch-contents.com/13/46/32/10/13463210_17624798_480.jpg,Rabanne,sequin chain-disc mini dress,Dress
https://cdn-images.farfetch-contents.com/20/94/05/18/20940518_50973345_480.jpg,Solace London,The Eva off-shoulder dress,Dress
https://cdn-images.farfetch-contents.com/15/32/82/88/15328288_36516471_480.jpg,Alexander Wang,logo-print fitted mini dress,Dress
https://cdn-images.farfetch-contents.com/19/93/04/67/19930467_50571292_480.jpg,AREA,crystal bow V-neck minidress,Dress
https://cdn-images.farfetch-contents.com/20/22/72/79/20227279_51180136_480.jpg,SANDRO,Sheila satin-finish ruffled dress,Dress
https://cdn-images.farfetch-contents.com/19/63/37/14/19633714_43895560_480.jpg,Mugler,long-sleeve open-knit minidress,Dress
https://cdn-images.farfetch-contents.com/17/91/89/93/17918993_39470953_480.jpg,Taller Marmo,Mrs. Ross fringed dress,Dress
https://cdn-images.farfetch-contents.com/20/93/92/07/20939207_50956265_480.jpg,Solace London,Lana one-shoulder maxi dress,Dress
https://cdn-images.farfetch-contents.com/21/48/36/75/21483675_51416065_480.jpg,Miu Miu,logo-print jersey midi dress,Dress
https://cdn-images.farfetch-contents.com/19/83/22/93/19832293_50555498_480.jpg,Mugler,chiffon-panelled minidress,Dress
https://cdn-images.farfetch-contents.com/20/52/62/45/20526245_50582776_480.jpg,AREA,Butterfly cut-out minidress,Dress
https://cdn-images.farfetch-contents.com/21/44/77/46/21447746_51408325_480.jpg,Nensi Dojaka,sheer-panelling floor-length gown,Dress
https://cdn-images.farfetch-contents.com/16/12/34/13/16123413_30456624_480.jpg,Gucci,Horsebit short-sleeve knitted dress,Dress
https://cdn-images.farfetch-contents.com/19/40/17/41/19401741_44445728_480.jpg,Solace London,Sofia square-neck maxi dress,Dress
https://cdn-images.farfetch-contents.com/19/17/33/72/19173372_43257061_480.jpg,Dolce & Gabbana,sleeveless V-neck minidress,Dress
https://cdn-images.farfetch-contents.com/20/04/52/20/20045220_50626672_480.jpg,Dolce & Gabbana,strappy half-length sleeves minidress,Dress
https://cdn-images.farfetch-contents.com/19/90/82/83/19908283_50650828_480.jpg,ETRO,graphic-print silk midi dress,Dress
https://cdn-images.farfetch-contents.com/20/04/39/85/20043985_45266164_480.jpg,Dolce & Gabbana,Majolica-print shift mini dress,Dress
https://cdn-images.farfetch-contents.com/17/18/34/92/17183492_38121699_480.jpg,Balmain,logo-button ribbed mini dress,Dress
https://cdn-images.farfetch-contents.com/20/50/16/63/20501663_50539979_480.jpg,Saint Laurent,cut-out bustier maxi dress,Dress
https://cdn-images.farfetch-contents.com/20/04/42/02/20044202_45266517_480.jpg,Dolce & Gabbana,cherry-print midi dress,Dress
https://cdn-images.farfetch-contents.com/19/62/06/28/19620628_45185282_480.jpg,ZIMMERMANN,Devi printed linen midi dress,Dress
https://cdn-images.farfetch-contents.com/19/83/23/16/19832316_50493329_480.jpg,Mugler,panelled corset minidress,Dress
https://cdn-images.farfetch-contents.com/19/61/89/96/19618996_45261184_480.jpg,ZIMMERMANN,Devi spliced mini dress,Dress
https://cdn-images.farfetch-contents.com/20/11/29/46/20112946_45245565_480.jpg,Balmain,button-embellished ribbed-knit minidress,Dress
https://cdn-images.farfetch-contents.com/19/94/76/35/19947635_51430413_480.jpg,Jacquemus,La Saudade Brodée satin minidress,Dress
https://cdn-images.farfetch-contents.com/20/04/42/15/20044215_50626367_480.jpg,Dolce & Gabbana,coated high-neck midi dress,Dress
https://cdn-images.farfetch-contents.com/19/17/24/49/19172449_42213290_480.jpg,Dolce & Gabbana,sleeveless lace shift dress ,Dress
https://cdn-images.farfetch-contents.com/20/10/46/98/20104698_45323338_480.jpg,ZIMMERMANN,Devi paisley-print halterneck dress,Dress
https://cdn-images.farfetch-contents.com/19/68/92/88/19689288_44043126_480.jpg,Versace,Medusa Biggie sleeveless midi dress,Dress
https://cdn-images.farfetch-contents.com/19/39/11/70/19391170_43838637_480.jpg,Dolce & Gabbana,KIM DOLCE&GABBANA number patch off-shoulder dress,Dress
https://cdn-images.farfetch-contents.com/19/94/91/39/19949139_50916130_480.jpg,Jacquemus,La Robe Taffetas minidress,Dress
https://cdn-images.farfetch-contents.com/14/80/65/13/14806513_23961329_480.jpg,Burberry,Vintage check tie-waist shirt dress,Dress
https://cdn-images.farfetch-contents.com/19/39/03/52/19390352_43835728_480.jpg,Dolce & Gabbana,KIM DOLCE&GABBANA number-patch mini dress,Dress
https://cdn-images.farfetch-contents.com/19/62/02/33/19620233_50509609_480.jpg,Alessandra Rich,oversized-collar midi dress,Dress
https://cdn-images.farfetch-contents.com/20/40/14/75/20401475_50440150_480.jpg,Mugler,cut-out ruched minidress,Dress
https://cdn-images.farfetch-contents.com/20/63/59/34/20635934_50624364_480.jpg,Versace,Allover cut-out jacquard minidress,Dress
https://cdn-images.farfetch-contents.com/19/70/91/55/19709155_44806722_480.jpg,Ferragamo,hooded one-shoulder mini dress,Dress
https://cdn-images.farfetch-contents.com/20/04/52/53/20045253_50414086_480.jpg,Dolce & Gabbana,cherry-print minidress,Dress
https://cdn-images.farfetch-contents.com/19/61/89/92/19618992_50496424_480.jpg,ZIMMERMANN,Raie floral-print midi dress,Dress
https://cdn-images.farfetch-contents.com/19/68/49/42/19684942_43957144_480.jpg,Balmain,all-over monogram dress ,Dress
https://cdn-images.farfetch-contents.com/20/12/72/19/20127219_51231115_480.jpg,Alessandra Rich, ruffled polka-dot silk midi dress,Dress
https://cdn-images.farfetch-contents.com/20/47/23/15/20472315_50843152_480.jpg,ETRO,paisley-print belted midi shirtdress,Dress
https://cdn-images.farfetch-contents.com/21/23/58/07/21235807_51164031_480.jpg,Alexander McQueen,Ethereal Orchid-jacquard maxi dress,Dress
https://cdn-images.farfetch-contents.com/19/78/11/04/19781104_45047668_480.jpg,Off-White,ribbed cut-out dress,Dress
https://cdn-images.farfetch-contents.com/21/06/49/96/21064996_51313672_480.jpg,Rick Owens,Abito draped long-sleeve dress,Dress
https://cdn-images.farfetch-contents.com/19/40/35/49/19403549_45245651_480.jpg,Taller Marmo,Piccolo Ubud one-shoulder minidress,Dress
https://cdn-images.farfetch-contents.com/19/29/29/27/19292927_44540534_480.jpg,Balenciaga,logo-embroidered neckline gown,Dress
https://cdn-images.farfetch-contents.com/19/39/03/50/19390350_43838759_480.jpg,Dolce & Gabbana,KIM DOLCE&GABBANA number-patch floor length dress,Dress
https://cdn-images.farfetch-contents.com/19/40/35/51/19403551_45278087_480.jpg,Taller Marmo,Ubud feather-trim satin gown,Dress
https://cdn-images.farfetch-contents.com/19/65/77/51/19657751_44671663_480.jpg,The Attico,Magnolia camouflage-print minidress,Dress
https://cdn-images.farfetch-contents.com/19/92/98/23/19929823_50571307_480.jpg,AREA,butterfly crystal-embellished mini dress,Dress
https://cdn-images.farfetch-contents.com/19/39/03/44/19390344_43838293_480.jpg,Dolce & Gabbana,KIM DOLCE&GABBANA asymmetric sheer floor-length dress,Dress
https://cdn-images.farfetch-contents.com/20/97/41/85/20974185_51675517_480.jpg,Off-White,puff-sleeve zipped minidress,Dress
https://cdn-images.farfetch-contents.com/19/40/17/39/19401739_44940051_480.jpg,Taller Marmo,Kika feather-trimmed minidress,Dress
https://cdn-images.farfetch-contents.com/19/75/61/49/19756149_44280213_480.jpg,Saint Laurent,sheer-panelled silk maxi dress,Dress
https://cdn-images.farfetch-contents.com/20/06/28/99/20062899_50153300_480.jpg,Rabanne,chain-detail draped long dress,Dress
https://cdn-images.farfetch-contents.com/20/22/85/22/20228522_50613234_480.jpg,Ferragamo,two-pocket denim dress ,Dress
https://cdn-images.farfetch-contents.com/19/07/34/56/19073456_43505875_480.jpg,Balmain,sleeveless denim dress,Dress
https://cdn-images.farfetch-contents.com/19/68/38/97/19683897_43936200_480.jpg,Balmain,Sky-print cowl-neck minidress,Dress
https://cdn-images.farfetch-contents.com/19/62/06/27/19620627_50409325_480.jpg,ZIMMERMANN,Chintz floral-print tiered dress,Dress
https://cdn-images.farfetch-contents.com/21/03/12/08/21031208_51044797_480.jpg,Gucci,GG canvas minidress,Dress
https://cdn-images.farfetch-contents.com/21/23/64/62/21236462_51296582_480.jpg,Marine Serre,Regenerated Scarves silk minidress,Dress
https://cdn-images.farfetch-contents.com/19/76/03/43/19760343_51189221_480.jpg,ISABEL MARANT,Celina floral-print silk dress,Dress
https://cdn-images.farfetch-contents.com/20/04/39/80/20043980_45266284_480.jpg,Dolce & Gabbana,graphic-print midi dress,Dress
https://cdn-images.farfetch-contents.com/19/28/33/69/19283369_42415507_480.jpg,Balenciaga,x adidas long-sleeve mini dress,Dress
https://cdn-images.farfetch-contents.com/19/61/98/41/19619841_50861034_480.jpg,Taller Marmo,Piccolo Ubud feather-trim minidress,Dress
https://cdn-images.farfetch-contents.com/19/62/10/00/19621000_50277567_480.jpg,ZIMMERMANN,Devi halter tie midi dress,Dress
https://cdn-images.farfetch-contents.com/21/00/33/87/21003387_51206973_480.jpg,KHAITE,The Kal faille mini shirtdress,Dress
https://cdn-images.farfetch-contents.com/20/04/49/89/20044989_51320366_480.jpg,ZIMMERMANN,Lyrical floral-print silk midi dress,Dress
https://cdn-images.farfetch-contents.com/18/39/26/22/18392622_40649901_480.jpg,Maison Margiela,mesh-detail fishtail gown ,Dress
https://cdn-images.farfetch-contents.com/19/78/81/75/19788175_44474303_480.jpg,Marine Serre,Moonogram-flocked mesh top,Dress
https://cdn-images.farfetch-contents.com/20/26/63/40/20266340_50580837_480.jpg,Diesel,T-Angie logo-cut stretch-cotton T-shirt,Dress
https://cdn-images.farfetch-contents.com/17/96/04/93/17960493_40274954_480.jpg,AMI Paris,Ami de Coeur roll-neck jumper,Dress
https://cdn-images.farfetch-contents.com/14/94/48/58/14944858_26000441_480.jpg,Comme Des Garçons Play,logo embroidered buttoned cardigan ,Dress
https://cdn-images.farfetch-contents.com/20/26/62/40/20266240_50608865_480.jpg,Diesel,T-Angie cut-out logo T-shirt,Dress
https://cdn-images.farfetch-contents.com/19/97/71/77/19977177_51337125_480.jpg,Woolrich,asymmetric checked midi skirt,Dress
https://cdn-images.farfetch-contents.com/11/17/21/60/11172160_11705374_480.jpg,Comme Des Garçons Play,embroidered heart cardigan,Dress
https://cdn-images.farfetch-contents.com/17/37/91/55/17379155_37760716_480.jpg,Diesel,logo-plaque cut-out bandeau top,Dress
https://cdn-images.farfetch-contents.com/11/18/04/09/11180409_5639724_480.jpg,Comme Des Garçons Play,embroidered heart cardigan,Dress
https://cdn-images.farfetch-contents.com/18/20/39/60/18203960_40511818_480.jpg,Diesel,M-Areesa logo-embroidered jumper,Dress
https://cdn-images.farfetch-contents.com/16/78/11/07/16781107_33191927_480.jpg,Alexander Wang,high neck logo top,Dress
https://cdn-images.farfetch-contents.com/14/72/84/86/14728486_23958024_480.jpg,Comme Des Garçons Play,long sleeve logo cardigan,Dress
