image_urls,brand_names,descriptions,type
https://cdn-images.farfetch-contents.com/21/48/62/65/21486265_51417510_480.jpg,Miu Miu,double-breasted velour wool blazer,Jacket
https://cdn-images.farfetch-contents.com/21/23/09/17/21230917_51101765_480.jpg,Prada,single-breasted suede blazer,Jacket
https://cdn-images.farfetch-contents.com/20/20/63/61/20206361_50955189_480.jpg,SANDRO,cropped virgin-wool jacket,Jacket
https://cdn-images.farfetch-contents.com/21/43/46/82/21434682_51390928_480.jpg,Versace,cropped denim jacket,Jacket
https://cdn-images.farfetch-contents.com/20/91/46/27/20914627_50870733_480.jpg,Prada,single-breasted wool jacket,Jacket
https://cdn-images.farfetch-contents.com/20/75/06/71/20750671_50752319_480.jpg,Prada,button-up cropped hooded jacket,Jacket
https://cdn-images.farfetch-contents.com/19/42/31/25/19423125_43332652_480.jpg,Thom Browne,elongated double-breasted blazer,Jacket
https://cdn-images.farfetch-contents.com/21/37/60/14/21376014_51561825_480.jpg,KHAITE,The Laybin bomber jacket,Jacket
https://cdn-images.farfetch-contents.com/21/41/42/84/21414284_51388489_480.jpg,Prada,single-breasted logo-patch suede jacket,Jacket
https://cdn-images.farfetch-contents.com/20/87/49/37/20874937_51308304_480.jpg,Valentino Garavani,contrast-lapel double-breasted blazer,Jacket
https://cdn-images.farfetch-contents.com/19/42/31/43/19423143_43342016_480.jpg,Thom Browne,check-print single-breasted blazer,Jacket
https://cdn-images.farfetch-contents.com/17/62/17/33/17621733_36776404_480.jpg,TOTEME,embroidered scarf jacket,Jacket
https://cdn-images.farfetch-contents.com/20/20/83/64/20208364_50785775_480.jpg,SANDRO,cropped button-up tweed jacket,Jacket
https://cdn-images.farfetch-contents.com/20/89/46/48/20894648_50866444_480.jpg,Saint Laurent,shearling aviator jacket,Jacket
https://cdn-images.farfetch-contents.com/20/97/33/52/20973352_51101283_480.jpg,Off-White,tie-dye zipped denim jacket ,Jacket
https://cdn-images.farfetch-contents.com/20/90/71/83/20907183_50905341_480.jpg,KHAITE,Hector snakeskin-print biker jacket,Jacket
https://cdn-images.farfetch-contents.com/20/69/92/07/20699207_51581067_480.jpg,Saint Laurent,single-breasted leather blazer,Jacket
https://cdn-images.farfetch-contents.com/19/59/26/81/19592681_44233639_480.jpg,AMI Paris,zip-up leather jacket,Jacket
https://cdn-images.farfetch-contents.com/20/18/72/19/20187219_50570691_480.jpg,Moncler,knitted-panel padded jacket,Jacket
https://cdn-images.farfetch-contents.com/18/82/74/34/18827434_41029786_480.jpg,Canada Goose,Cypress padded gilet,Jacket
https://cdn-images.farfetch-contents.com/20/04/60/53/20046053_50631993_480.jpg,Dolce & Gabbana,logo-plaque leopard-print gilet,Jacket
https://cdn-images.farfetch-contents.com/20/20/63/39/20206339_50702173_480.jpg,SANDRO,cropped bouclé jacket,Jacket
https://cdn-images.farfetch-contents.com/20/18/72/21/20187221_50584647_480.jpg,Moncler,knit-sleeve padded jacket,Jacket
https://cdn-images.farfetch-contents.com/20/47/12/74/20471274_50677045_480.jpg,ETRO,double-breasted velvet blazer,Jacket
https://cdn-images.farfetch-contents.com/19/70/91/89/19709189_44180162_480.jpg,Ferragamo,off-centre single-breasted blazer,Jacket
https://cdn-images.farfetch-contents.com/21/32/36/04/21323604_51472430_480.jpg,Courrèges,Vynil logo-print puffer jacket,Jacket
https://cdn-images.farfetch-contents.com/17/91/93/78/17919378_41556682_480.jpg,Moncler,hooded puffer jacket,Jacket
https://cdn-images.farfetch-contents.com/20/85/27/11/20852711_50772514_480.jpg,ISABEL MARANT,fur-lining leather jacket,Jacket
https://cdn-images.farfetch-contents.com/19/94/85/79/19948579_51097792_480.jpg,Jacquemus,Galliga cut-out virgin wool blazer,Jacket
https://cdn-images.farfetch-contents.com/20/58/07/43/20580743_51266454_480.jpg,Alexander McQueen,asymmetric wool jacket ,Jacket
https://cdn-images.farfetch-contents.com/16/63/50/98/16635098_40929333_480.jpg,Khrisjoy,Kris Iconic puffer jacket,Jacket
https://cdn-images.farfetch-contents.com/17/20/74/89/17207489_34985669_480.jpg,SANDRO,peak-lapel single-breasted blazer,Jacket
https://cdn-images.farfetch-contents.com/20/14/23/07/20142307_50613974_480.jpg,Simone Rocha,crystal-embellished cropped bomber jacket,Jacket
https://cdn-images.farfetch-contents.com/19/94/85/98/19948598_50917681_480.jpg,Jacquemus,La doudoune caraco puffer jacket,Jacket
https://cdn-images.farfetch-contents.com/20/38/37/72/20383772_50457420_480.jpg,Moncler,contrasting-sleeve padded jacket,Jacket
https://cdn-images.farfetch-contents.com/20/85/28/07/20852807_50775807_480.jpg,Moncler,Lempa padded gilet,Jacket
https://cdn-images.farfetch-contents.com/20/64/53/56/20645356_50642179_480.jpg,Brunello Cucinelli,quilted hooded wool jacket,Jacket
https://cdn-images.farfetch-contents.com/20/04/68/39/20046839_50080480_480.jpg,Brunello Cucinelli,double-breasted corduroy blazer,Jacket
https://cdn-images.farfetch-contents.com/20/12/11/14/20121114_50771982_480.jpg,Lemaire,wide-lapels puffer jacket,Jacket
https://cdn-images.farfetch-contents.com/20/14/08/23/20140823_51561815_480.jpg,Alexander Wang,faux-fur collar denim jacket,Jacket
https://cdn-images.farfetch-contents.com/19/76/03/54/19760354_50853623_480.jpg,ISABEL MARANT,Elize denim jacket ,Jacket
https://cdn-images.farfetch-contents.com/20/11/32/74/20113274_45322401_480.jpg,Balmain,8-Buttons double-breasted wool blazer,Jacket
https://cdn-images.farfetch-contents.com/19/07/34/28/19073428_41613808_480.jpg,Balmain,flap-pockets single-breasted blazer ,Jacket
https://cdn-images.farfetch-contents.com/20/23/40/80/20234080_51244383_480.jpg,Jil Sander,zip-up fleece jacket,Jacket
https://cdn-images.farfetch-contents.com/20/18/72/24/20187224_50600314_480.jpg,Moncler,Blavet logo-patch chenille gilet,Jacket
https://cdn-images.farfetch-contents.com/14/64/53/14/14645314_23555898_480.jpg,Gucci,monogram cape,Jacket
https://cdn-images.farfetch-contents.com/19/78/08/20/19780820_51200092_480.jpg,Courrèges,vinyl-finish zip-up bomber jacket,Jacket
https://cdn-images.farfetch-contents.com/20/04/96/68/20049668_45290076_480.jpg,Dolce & Gabbana,overdyed denim gilet ,Jacket
https://cdn-images.farfetch-contents.com/19/07/29/36/19072936_43336933_480.jpg,Balmain,buttoned tweed jacket,Jacket
https://cdn-images.farfetch-contents.com/20/04/42/72/20044272_50632725_480.jpg,Dolce & Gabbana,logo-plaque puffer jacket,Jacket
https://cdn-images.farfetch-contents.com/19/48/81/26/19488126_44417336_480.jpg,Burberry,single breasted tailored blazer,Jacket
https://cdn-images.farfetch-contents.com/17/38/55/77/17385577_37919367_480.jpg,Golden Goose,distressed-effect leather biker jacket,Jacket
https://cdn-images.farfetch-contents.com/16/02/07/83/16020783_32025511_480.jpg,Saint Laurent,double-breasted wool blazer,Jacket
https://cdn-images.farfetch-contents.com/19/05/18/52/19051852_43995206_480.jpg,Gucci,GG-jacquard double-breasted blazer ,Jacket
https://cdn-images.farfetch-contents.com/19/02/55/19/19025519_41528135_480.jpg,Canada Goose,Marlow belted puffer coat,Jacket
https://cdn-images.farfetch-contents.com/21/26/87/53/21268753_51288496_480.jpg,Moncler,metallic-finish padded puff jacket,Jacket
https://cdn-images.farfetch-contents.com/17/34/94/06/17349406_35806279_480.jpg,Gucci,GG-canvas leather-trim jacket,Jacket
https://cdn-images.farfetch-contents.com/20/07/09/03/20070903_45086051_480.jpg,Gucci,GG-print hooded jacket,Jacket
https://cdn-images.farfetch-contents.com/19/03/09/39/19030939_41461084_480.jpg,Gucci,Maxi GG fleece jacket,Jacket
https://cdn-images.farfetch-contents.com/17/85/01/98/17850198_41118005_480.jpg,Canada Goose,zip-fastening padded jacket,Jacket
https://cdn-images.farfetch-contents.com/20/73/59/07/20735907_50712441_480.jpg,Moncler,Ramees padded gilet,Jacket
https://cdn-images.farfetch-contents.com/18/80/10/51/18801051_40796783_480.jpg,Khrisjoy,quilted hooded gilet,Jacket
https://cdn-images.farfetch-contents.com/19/29/29/23/19292923_44539438_480.jpg,Balenciaga,ruched bomber jacket,Jacket
https://cdn-images.farfetch-contents.com/20/30/83/01/20308301_50303513_480.jpg,Burberry,detachable-hood diamond-quilted jacket,Jacket
https://cdn-images.farfetch-contents.com/20/30/92/36/20309236_50289238_480.jpg,Gucci,GG jacquard double-breasted blazer,Jacket
https://cdn-images.farfetch-contents.com/20/11/32/53/20113253_45316196_480.jpg,Balmain,double-breasted tweed jacket,Jacket
https://cdn-images.farfetch-contents.com/20/85/17/09/20851709_50775649_480.jpg,ISABEL MARANT,Dianaza tweed jacket,Jacket
https://cdn-images.farfetch-contents.com/20/20/57/49/20205749_50608504_480.jpg,Palm Angels,double-breasted cropped blazer,Jacket
https://cdn-images.farfetch-contents.com/20/51/47/94/20514794_51469459_480.jpg,Moncler,Segura sherpa-fleece jacket,Jacket
https://cdn-images.farfetch-contents.com/20/08/54/38/20085438_51031960_480.jpg,Alexander McQueen,cut-out wool blazer,Jacket
https://cdn-images.farfetch-contents.com/20/76/86/44/20768644_50680690_480.jpg,Khrisjoy,Bandana Velour puffer jacket,Jacket
https://cdn-images.farfetch-contents.com/21/25/85/25/21258525_51137844_480.jpg,Balmain,monogram-print denim jacket,Jacket
https://cdn-images.farfetch-contents.com/20/51/55/88/20515588_51551628_480.jpg,Moncler,knit-sleeve padded jacket,Jacket
https://cdn-images.farfetch-contents.com/20/04/42/69/20044269_50627454_480.jpg,Dolce & Gabbana,shearling-collar bomber jacket,Jacket
https://cdn-images.farfetch-contents.com/20/18/89/84/20188984_50598409_480.jpg,Off-White,single-breasted structured blazer,Jacket
https://cdn-images.farfetch-contents.com/18/43/01/81/18430181_41048511_480.jpg,Saint Laurent,oversized shearling jacket,Jacket
https://cdn-images.farfetch-contents.com/20/19/12/06/20191206_50479756_480.jpg,Off-White,belted-waist jacket,Jacket
https://cdn-images.farfetch-contents.com/20/04/42/66/20044266_45267617_480.jpg,Dolce & Gabbana,logo-appliqué bomber jacket,Jacket
https://cdn-images.farfetch-contents.com/19/22/93/47/19229347_42099504_480.jpg,Gucci,GG logo-print padded gilet,Jacket
https://cdn-images.farfetch-contents.com/20/87/93/53/20879353_50838973_480.jpg,Khrisjoy,Khris Iconic quilted hooded gilet,Jacket
https://cdn-images.farfetch-contents.com/20/52/72/02/20527202_50608770_480.jpg,AREA,crystal-embellished cropped wool blazer,Jacket
https://cdn-images.farfetch-contents.com/21/08/55/52/21085552_51470652_480.jpg,Mugler,corset panelled blazer,Jacket
https://cdn-images.farfetch-contents.com/20/26/13/97/20261397_50217790_480.jpg,Burberry,single-breasted wool blazer,Jacket
https://cdn-images.farfetch-contents.com/20/23/47/76/20234776_50144723_480.jpg,Gucci,Web-stripe zipped cropped jacket,Jacket
https://cdn-images.farfetch-contents.com/19/61/89/82/19618982_51028399_480.jpg,Khrisjoy,Iconic graffiti-print hooded gilet,Jacket
https://cdn-images.farfetch-contents.com/19/36/27/81/19362781_42633418_480.jpg,Gucci,GG canvas hooded padded jacket,Jacket
https://cdn-images.farfetch-contents.com/17/80/25/32/17802532_37483473_480.jpg,Saint Laurent,belted denim jacket,Jacket
https://cdn-images.farfetch-contents.com/19/75/57/08/19755708_44232436_480.jpg,Dolce & Gabbana,single-breasted button-fastening blazer,Jacket
https://cdn-images.farfetch-contents.com/21/25/69/45/21256945_51137894_480.jpg,Balmain,two-tone crepe blazer,Jacket
https://cdn-images.farfetch-contents.com/18/02/15/83/18021583_38162144_480.jpg,Gucci,GG Supreme belted jacket,Jacket
https://cdn-images.farfetch-contents.com/17/84/79/21/17847921_37875909_480.jpg,Ferragamo,Gancini reversible cape,Jacket
