image_urls,brand_names,descriptions,type
https://cdn-images.farfetch-contents.com/21/86/41/31/21864131_51659614_480.jpg,Gucci,ribbed-knit cashmere jumper,Knit
https://cdn-images.farfetch-contents.com/20/91/56/68/20915668_50857653_480.jpg,Prada,contrasting collar cashmere cardigan,Knit
https://cdn-images.farfetch-contents.com/19/42/26/87/19422687_43376247_480.jpg,Thom Browne,Nautical Toile crew neck shell top,Knit
https://cdn-images.farfetch-contents.com/21/51/91/21/21519121_51461960_480.jpg,Gucci,crystal-embellished knit polo top,Knit
https://cdn-images.farfetch-contents.com/21/00/01/05/21000105_51079080_480.jpg,GANNI,ribbed V-neck intarsia-knit vest,Knit
https://cdn-images.farfetch-contents.com/20/97/42/18/20974218_50959257_480.jpg,Gucci,lamé-trim cotton cardigan,Knit
https://cdn-images.farfetch-contents.com/20/20/83/17/20208317_51004904_480.jpg,SANDRO,checked tweed miniskirt,Knit
https://cdn-images.farfetch-contents.com/20/08/54/43/20085443_51029818_480.jpg,Alexander McQueen,cut-out cocoon turtleneck jumper,Knit
https://cdn-images.farfetch-contents.com/20/87/49/41/20874941_51362729_480.jpg,Valentino Garavani,stripe-pattern mohair-blend jumper,Knit
https://cdn-images.farfetch-contents.com/20/86/74/51/20867451_50858306_480.jpg,KHAITE,The Oren cashmere cardigan,Knit
https://cdn-images.farfetch-contents.com/14/18/18/15/14181815_20109510_480.jpg,Thom Browne,Funmix 4-Bar v-neck cardigan,Knit
https://cdn-images.farfetch-contents.com/20/96/30/97/20963097_51085793_480.jpg,Prada,V-neck wool jumper,Knit
https://cdn-images.farfetch-contents.com/20/20/83/66/20208366_50718018_480.jpg,SANDRO,layered knitted pinafore dress,Knit
https://cdn-images.farfetch-contents.com/20/92/02/37/20920237_51058659_480.jpg,Prada,knitted cashmere jumper,Knit
https://cdn-images.farfetch-contents.com/21/48/36/85/21483685_51414920_480.jpg,Miu Miu,virgin wool cardigan,Knit
