image_urls,brand_names,descriptions,type
https://cdn-images.farfetch-contents.com/19/83/23/01/19832301_50488627_480.jpg,Mugler,spiral panelled leggings,Pant
https://cdn-images.farfetch-contents.com/20/27/50/15/20275015_50329876_480.jpg,Marine Serre,Fuseaux Moon printed leggings,Pant
https://cdn-images.farfetch-contents.com/19/79/86/21/19798621_44464927_480.jpg,PINKO,straight-leg cropped trousers,Pant
https://cdn-images.farfetch-contents.com/20/16/08/12/20160812_50120629_480.jpg,The Attico,Fern cargo jeans,Pant
https://cdn-images.farfetch-contents.com/18/88/48/24/18884824_42083607_480.jpg,Ferragamo,high-waist straight-leg trousers,Pant
https://cdn-images.farfetch-contents.com/20/25/67/37/20256737_50217618_480.jpg,Burberry,wide-leg pleated wool trousers,Pant
https://cdn-images.farfetch-contents.com/20/20/83/23/20208323_50755104_480.jpg,SANDRO,floral-lace leggings ,Pant
https://cdn-images.farfetch-contents.com/20/08/48/55/20084855_51030513_480.jpg,Alexander McQueen,high-waisted tailored wool trousers,Pant
https://cdn-images.farfetch-contents.com/19/25/05/88/19250588_44041371_480.jpg,Gucci,GG patterned jacquard track pants,Pant
https://cdn-images.farfetch-contents.com/21/50/62/65/21506265_51501917_480.jpg,Miu Miu,pinstripe herringbone wool trousers,Pant
https://cdn-images.farfetch-contents.com/20/84/16/32/20841632_50800511_480.jpg,Margherita MACCAPANI,Easy graphic-print flared trousers,Pant
https://cdn-images.farfetch-contents.com/20/24/24/32/20242432_50693090_480.jpg,Missoni,slub-print wide-leg trousers,Pant
https://cdn-images.farfetch-contents.com/20/27/18/79/20271879_51074929_480.jpg,Margherita MACCAPANI,layered flared trousers,Pant
https://cdn-images.farfetch-contents.com/20/20/63/24/20206324_50750194_480.jpg,SANDRO,crystal-embellished leggings,Pant
https://cdn-images.farfetch-contents.com/20/04/78/86/20047886_45051941_480.jpg,Miu Miu,marbleised denim jeans,Pant
https://cdn-images.farfetch-contents.com/19/18/30/42/19183042_42153513_480.jpg,Valentino Garavani,VLogo crepe de chine trousers,Pant
https://cdn-images.farfetch-contents.com/20/57/97/77/20579777_51374782_480.jpg,Alexander McQueen,satin-trim wool trousers,Pant
https://cdn-images.farfetch-contents.com/20/29/74/90/20297490_51536984_480.jpg,SANDRO,side-stripe straight-leg track pants,Pant
https://cdn-images.farfetch-contents.com/19/76/11/60/19761160_50883143_480.jpg,TOM FORD,high-waisted flared trousers,Pant
https://cdn-images.farfetch-contents.com/20/51/39/46/20513946_50525734_480.jpg,Gucci,floral-print silk trousers,Pant
https://cdn-images.farfetch-contents.com/20/04/68/37/20046837_50107861_480.jpg,Brunello Cucinelli,corduroy wide-leg trousers,Pant
https://cdn-images.farfetch-contents.com/21/73/02/01/21730201_51614355_480.jpg,Rick Owens DRKSHDW,Pusher cotton track pants,Pant
https://cdn-images.farfetch-contents.com/20/20/37/46/20203746_50603830_480.jpg,Palm Angels,tapered cargo trousers,Pant
https://cdn-images.farfetch-contents.com/18/90/58/22/18905822_41141512_480.jpg,Saint Laurent,straight-leg tailored trousers,Pant
https://cdn-images.farfetch-contents.com/20/64/45/49/20644549_50650922_480.jpg,Dolce & Gabbana,Majolica-print wide-leg trousers,Pant
https://cdn-images.farfetch-contents.com/19/76/03/82/19760382_50565440_480.jpg,Jil Sander,wide-leg track pants,Pant
https://cdn-images.farfetch-contents.com/16/69/89/64/16698964_36131861_480.jpg,Saint Laurent,pleated front slim-fit trousers,Pant
https://cdn-images.farfetch-contents.com/20/04/60/82/20046082_50634973_480.jpg,Dolce & Gabbana,logo-waistband satin leggings,Pant
https://cdn-images.farfetch-contents.com/18/90/60/63/18906063_41125081_480.jpg,Saint Laurent,high-waist velvet trousers,Pant
https://cdn-images.farfetch-contents.com/19/17/16/45/19171645_42242410_480.jpg,Dolce & Gabbana,logo-print cotton leggings,Pant
https://cdn-images.farfetch-contents.com/20/84/30/36/20843036_50703596_480.jpg,Margherita MACCAPANI,The Panta Jazz slim trousers,Pant
https://cdn-images.farfetch-contents.com/20/31/53/39/20315339_51009830_480.jpg,Nanushka,elasticated-waist cropped trousers,Pant
https://cdn-images.farfetch-contents.com/20/04/68/44/20046844_50487901_480.jpg,Stella McCartney,colour-block straight-leg jeans,Pant
https://cdn-images.farfetch-contents.com/19/90/86/19/19908619_50801394_480.jpg,Wales Bonner,check-print cropped trousers,Pant
https://cdn-images.farfetch-contents.com/17/60/11/10/17601110_36720290_480.jpg,Mugler,cut-out detail trousers,Pant
https://cdn-images.farfetch-contents.com/17/19/28/43/17192843_34980935_480.jpg,Alexander McQueen,logo-print track pants,Pant
https://cdn-images.farfetch-contents.com/20/27/14/97/20271497_50288210_480.jpg,Mugler,Spiral panelled leggings,Pant
https://cdn-images.farfetch-contents.com/19/07/90/03/19079003_43191029_480.jpg,Marc Jacobs,wide-leg cargo trousers,Pant
https://cdn-images.farfetch-contents.com/20/14/08/04/20140804_50671595_480.jpg,Dion Lee,belted-waist Blouson trousers,Pant
https://cdn-images.farfetch-contents.com/19/90/81/42/19908142_50883064_480.jpg,MARANT ÉTOILE,elasticated-waistband faux-leather trousers,Pant
https://cdn-images.farfetch-contents.com/20/23/58/10/20235810_50417598_480.jpg,Dolce & Gabbana,logo-plaque high-waisted leggings,Pant
https://cdn-images.farfetch-contents.com/19/83/22/86/19832286_50508882_480.jpg,Mugler,Spiral leggings,Pant
https://cdn-images.farfetch-contents.com/20/95/53/32/20955332_50994017_480.jpg,ZIMMERMANN,belted silk wide-leg trousers,Pant
https://cdn-images.farfetch-contents.com/19/61/89/86/19618986_50142507_480.jpg,ZIMMERMANN,Ginger Relaxed silk trousers ,Pant
https://cdn-images.farfetch-contents.com/19/81/35/87/19813587_44642488_480.jpg,CRENSHAW SKATE CLUB,x Browns Square work trousers,Pant
https://cdn-images.farfetch-contents.com/20/06/34/51/20063451_50327674_480.jpg,Rabanne,Disc-embellished straight-leg trousers,Pant
https://cdn-images.farfetch-contents.com/19/68/81/84/19688184_44038156_480.jpg,Versace,La Greca crossover waistband leggings,Pant
https://cdn-images.farfetch-contents.com/18/91/08/51/18910851_41141880_480.jpg,Stella McCartney,satin-waistband detail trousers,Pant
https://cdn-images.farfetch-contents.com/19/78/81/75/19788175_44474303_480.jpg,Marine Serre,Moonogram-flocked mesh top,Pant
https://cdn-images.farfetch-contents.com/20/26/63/40/20266340_50580837_480.jpg,Diesel,T-Angie logo-cut stretch-cotton T-shirt,Pant
https://cdn-images.farfetch-contents.com/17/96/04/93/17960493_40274954_480.jpg,AMI Paris,Ami de Coeur roll-neck jumper,Pant
https://cdn-images.farfetch-contents.com/14/94/48/58/14944858_26000441_480.jpg,Comme Des Garçons Play,logo embroidered buttoned cardigan ,Pant
https://cdn-images.farfetch-contents.com/20/26/62/40/20266240_50608865_480.jpg,Diesel,T-Angie cut-out logo T-shirt,Pant
https://cdn-images.farfetch-contents.com/19/97/71/77/19977177_51337125_480.jpg,Woolrich,asymmetric checked midi skirt,Pant
https://cdn-images.farfetch-contents.com/11/17/21/60/11172160_11705374_480.jpg,Comme Des Garçons Play,embroidered heart cardigan,Pant
https://cdn-images.farfetch-contents.com/17/37/91/55/17379155_37760716_480.jpg,Diesel,logo-plaque cut-out bandeau top,Pant
https://cdn-images.farfetch-contents.com/11/18/04/09/11180409_5639724_480.jpg,Comme Des Garçons Play,embroidered heart cardigan,Pant
https://cdn-images.farfetch-contents.com/18/20/39/60/18203960_40511818_480.jpg,Diesel,M-Areesa logo-embroidered jumper,Pant
