image_urls,brand_names,descriptions,type
https://cdn-images.farfetch-contents.com/20/87/53/06/20875306_51325146_480.jpg,Valentino Garavani,Crepe Couture floral-appliqué skorts,Short
https://cdn-images.farfetch-contents.com/20/74/57/88/20745788_51342277_480.jpg,Ferragamo,knitted tailored minishorts,Short
https://cdn-images.farfetch-contents.com/20/20/83/57/20208357_50738936_480.jpg,SANDRO,houndstooth high-waisted shorts,Short
https://cdn-images.farfetch-contents.com/19/81/41/70/19814170_44380523_480.jpg,Prada,Re-Nylon logo-embroidered shorts,Short
https://cdn-images.farfetch-contents.com/19/63/29/94/19632994_43784059_480.jpg,Gucci,Black Leather Trim Monogram Shorts,Short
https://cdn-images.farfetch-contents.com/20/11/19/42/20111942_45229501_480.jpg,Balmain,button-detail tweed shorts,Short
https://cdn-images.farfetch-contents.com/16/84/25/51/16842551_33609122_480.jpg,SANDRO,Hugo A-line shorts,Short
https://cdn-images.farfetch-contents.com/19/90/66/57/19906657_51176327_480.jpg,Balmain,button-embellished leather shorts,Short
https://cdn-images.farfetch-contents.com/18/16/68/47/18166847_38871031_480.jpg,Burberry,check-detail shorts,Short
https://cdn-images.farfetch-contents.com/19/90/73/36/19907336_50671531_480.jpg,Versace,monogram-jacquard denim miniskirt,Short
https://cdn-images.farfetch-contents.com/20/20/63/26/20206326_50731944_480.jpg,SANDRO,rhinestone-embellished high-waisted shorts,Short
https://cdn-images.farfetch-contents.com/20/23/48/30/20234830_50145488_480.jpg,Gucci,Web-stripe logo-patch shorts,Short
https://cdn-images.farfetch-contents.com/18/46/56/72/18465672_40237160_480.jpg,SANDRO,Cadaques high-waist shorts,Short
https://cdn-images.farfetch-contents.com/17/39/08/49/17390849_37832305_480.jpg,Alexander Wang,logo waistband safari shorts,Short
https://cdn-images.farfetch-contents.com/15/75/37/97/15753797_33778568_480.jpg,Dolce & Gabbana,scalloped-waistband shorts,Short
https://cdn-images.farfetch-contents.com/19/62/06/37/19620637_50251397_480.jpg,ZIMMERMANN,Raie floral-print shorts,Short
https://cdn-images.farfetch-contents.com/20/12/96/47/20129647_50026535_480.jpg,ZIMMERMANN,Devi linen shorts,Short
https://cdn-images.farfetch-contents.com/20/04/42/97/20044297_50632406_480.jpg,Dolce & Gabbana,distressed-effect denim shorts,Short
https://cdn-images.farfetch-contents.com/17/81/16/45/17811645_37509769_480.jpg,Saint Laurent,Laine wool crochet shorts,Short
https://cdn-images.farfetch-contents.com/20/04/53/14/20045314_45267719_480.jpg,Dolce & Gabbana,Sicilian Carretto-print cotton shorts,Short
https://cdn-images.farfetch-contents.com/19/17/24/86/19172486_43258978_480.jpg,Dolce & Gabbana,high-waisted denim shorts,Short
https://cdn-images.farfetch-contents.com/17/34/77/36/17347736_35805576_480.jpg,Gucci,logo-patch denim shorts,Short
https://cdn-images.farfetch-contents.com/19/44/57/65/19445765_44738287_480.jpg,Moncler,drawstring cotton shorts,Short
https://cdn-images.farfetch-contents.com/20/06/70/73/20067073_50452714_480.jpg,Versace,logo-print silk shorts,Short
https://cdn-images.farfetch-contents.com/19/94/85/47/19948547_50662572_480.jpg,Dolce & Gabbana,Majolica-print cycling shorts,Short
https://cdn-images.farfetch-contents.com/20/20/73/19/20207319_50594413_480.jpg,SANDRO,rhinestone-embellished cotton shorts,Short
https://cdn-images.farfetch-contents.com/20/14/20/35/20142035_50483688_480.jpg,Missoni,zigzag knitted shorts,Short
https://cdn-images.farfetch-contents.com/20/64/47/81/20644781_50609696_480.jpg,Versace,x Dua Lipa Versace Allover devoré-cotton shorts,Short
https://cdn-images.farfetch-contents.com/20/84/16/35/20841635_50873334_480.jpg,Margherita MACCAPANI,Micro-short high-waist shorts,Short
https://cdn-images.farfetch-contents.com/20/18/67/91/20186791_50147763_480.jpg,GANNI,logo-patch short shorts ,Short
https://cdn-images.farfetch-contents.com/20/92/25/66/20922566_50977595_480.jpg,AMIRI,logo-embroidered cotton-blend track shorts,Short
