image_urls,brand_names,descriptions,type
https://cdn-images.farfetch-contents.com/21/87/48/48/21874848_51644820_480.jpg,Prada,leather midi skirt,Skirt
https://cdn-images.farfetch-contents.com/20/87/62/17/20876217_51362646_480.jpg,Valentino Garavani,striped silk A-line skirt,Skirt
https://cdn-images.farfetch-contents.com/20/20/63/49/20206349_50935731_480.jpg,SANDRO,pleated semi-sheer midi skirt,Skirt
https://cdn-images.farfetch-contents.com/20/87/53/06/20875306_51325146_480.jpg,Valentino Garavani,Crepe Couture floral-appliqué skorts,Skirt
https://cdn-images.farfetch-contents.com/20/71/88/57/20718857_51468352_480.jpg,Saint Laurent,lamskin pencil midi skirt,Skirt
https://cdn-images.farfetch-contents.com/20/91/62/25/20916225_50870274_480.jpg,Prada,padded cotton miniskirt,Skirt
https://cdn-images.farfetch-contents.com/20/55/47/77/20554777_51099633_480.jpg,SANDRO,denim-trim pleated skirt,Skirt
https://cdn-images.farfetch-contents.com/21/79/20/24/21792024_51616627_480.jpg,Prada,triangle-logo virgin-wool skirt,Skirt
https://cdn-images.farfetch-contents.com/20/87/49/34/20874934_51030320_480.jpg,Valentino Garavani,Crepe Couture high-waisted mini skirt ,Skirt
https://cdn-images.farfetch-contents.com/21/86/43/82/21864382_51661617_480.jpg,Gucci,GG Supreme pencil skirt,Skirt
https://cdn-images.farfetch-contents.com/20/22/97/70/20229770_51270836_480.jpg,ERES,Réglisse chevron-pattern maxi skirt,Skirt
https://cdn-images.farfetch-contents.com/20/47/33/12/20473312_51637157_480.jpg,GANNI,metallic-finish denim midi skirt,Skirt
https://cdn-images.farfetch-contents.com/15/49/42/25/15494225_27956459_480.jpg,SANDRO,pleated mini skirt,Skirt
https://cdn-images.farfetch-contents.com/20/96/91/39/20969139_51449812_480.jpg,Diesel,L-Crackskirt leather maxi skirt,Skirt
https://cdn-images.farfetch-contents.com/21/24/63/46/21246346_51379813_480.jpg,Prada,pleated wool mini skirt,Skirt
https://cdn-images.farfetch-contents.com/21/00/46/83/21004683_51243393_480.jpg,KHAITE,The Fraser snakeskin-effect leather skirt,Skirt
https://cdn-images.farfetch-contents.com/20/92/02/35/20920235_51061718_480.jpg,Prada,high-waisted A-line skirt ,Skirt
https://cdn-images.farfetch-contents.com/20/84/16/33/20841633_50703346_480.jpg,Margherita MACCAPANI,The Rouched high-waisted skirt,Skirt
https://cdn-images.farfetch-contents.com/20/95/61/26/20956126_51085077_480.jpg,Prada,fringed cashmere miniskirt,Skirt
https://cdn-images.farfetch-contents.com/20/26/82/83/20268283_50232156_480.jpg,Burberry,belted-waist flared skirt,Skirt
https://cdn-images.farfetch-contents.com/19/94/96/80/19949680_50155711_480.jpg,Valentino Garavani,Crepe Couture midi skirt,Skirt
https://cdn-images.farfetch-contents.com/19/60/55/66/19605566_50557137_480.jpg,Thom Browne,4-Bar pleated skirt,Skirt
https://cdn-images.farfetch-contents.com/19/90/75/97/19907597_50269647_480.jpg,Versace,Medusa-embellished leather miniskirt,Skirt
https://cdn-images.farfetch-contents.com/18/02/15/84/18021584_38150440_480.jpg,Gucci,GG Supreme midi skirt,Skirt
https://cdn-images.farfetch-contents.com/19/14/03/37/19140337_43598088_480.jpg,Balmain,high-waisted pencil skirt,Skirt
https://cdn-images.farfetch-contents.com/20/20/73/46/20207346_51179855_480.jpg,SANDRO,Sara button-detail midi skirt,Skirt
https://cdn-images.farfetch-contents.com/19/96/48/44/19964844_44950922_480.jpg,Balmain,monogram-jacquard miniskirt,Skirt
https://cdn-images.farfetch-contents.com/19/92/89/99/19928999_50580259_480.jpg,AREA,crystal-embellished butterfly miniskirt,Skirt
https://cdn-images.farfetch-contents.com/19/29/82/40/19298240_42719480_480.jpg,Miu Miu,Glen plaid-check pleated mini skirt,Skirt
https://cdn-images.farfetch-contents.com/21/54/64/42/21546442_51468046_480.jpg,Gucci,belted velvet maxi skirt,Skirt
https://cdn-images.farfetch-contents.com/20/92/12/72/20921272_51061664_480.jpg,Prada,asymmetric-hem mini skirt,Skirt
https://cdn-images.farfetch-contents.com/20/11/28/41/20112841_45227440_480.jpg,Balmain,tweed pleated mini skirt,Skirt
https://cdn-images.farfetch-contents.com/19/36/01/14/19360114_43453239_480.jpg,Saint Laurent,silk floor-length skirt,Skirt
https://cdn-images.farfetch-contents.com/20/11/19/47/20111947_45320659_480.jpg,Balmain,button-detail pleated miniskirt,Skirt
https://cdn-images.farfetch-contents.com/20/51/90/06/20519006_50684747_480.jpg,Maison Margiela,silk chiffon sheer skirt,Skirt
https://cdn-images.farfetch-contents.com/20/84/32/83/20843283_50801364_480.jpg,Margherita MACCAPANI,floral-print tie-fastening skirt ,Skirt
https://cdn-images.farfetch-contents.com/20/04/39/63/20043963_50631489_480.jpg,Dolce & Gabbana,logo-plaque high-waisted miniskirt,Skirt
https://cdn-images.farfetch-contents.com/20/21/54/20/20215420_50192601_480.jpg,Courrèges,Iconic Vinyl miniskirt,Skirt
https://cdn-images.farfetch-contents.com/20/20/23/30/20202330_50122515_480.jpg,Prada,triangle-logo jersey miniskirt,Skirt
https://cdn-images.farfetch-contents.com/20/14/08/05/20140805_50977016_480.jpg,Dion Lee,belted-waist mini skirt,Skirt
https://cdn-images.farfetch-contents.com/19/94/91/46/19949146_50918346_480.jpg,Jacquemus,La jupe pareo Croissant midi skirt,Skirt
https://cdn-images.farfetch-contents.com/19/99/88/98/19998898_50992094_480.jpg,Blumarine,cotton-blend cargo miniskirt,Skirt
https://cdn-images.farfetch-contents.com/19/94/91/47/19949147_51177483_480.jpg,Jacquemus,Bahia twist-detail miniskirt,Skirt
https://cdn-images.farfetch-contents.com/16/68/49/87/16684987_34600122_480.jpg,Alessandra Rich,high-waisted mini skirt,Skirt
https://cdn-images.farfetch-contents.com/20/18/58/83/20185883_50583869_480.jpg,Moncler,quilted A-line skirt,Skirt
https://cdn-images.farfetch-contents.com/19/93/04/69/19930469_51418773_480.jpg,ANDREĀDAMO,corset-detail pleated miniskirt,Skirt
https://cdn-images.farfetch-contents.com/20/04/51/94/20045194_50626608_480.jpg,Dolce & Gabbana,ribbed velvet mini skirt,Skirt
https://cdn-images.farfetch-contents.com/19/17/33/41/19173341_42741416_480.jpg,Dolce & Gabbana,logo-pattern velvet mini skirt,Skirt
https://cdn-images.farfetch-contents.com/19/70/84/18/19708418_44266624_480.jpg,Ferragamo,front welt-pocket mini skirt,Skirt
https://cdn-images.farfetch-contents.com/19/16/66/85/19166685_44395641_480.jpg,Missoni,striped midi skirt,Skirt
https://cdn-images.farfetch-contents.com/19/28/50/34/19285034_50116676_480.jpg,PUCCI,print-detail pleated skirt,Skirt
