image_urls,brand_names,descriptions,type
https://cdn-images.farfetch-contents.com/16/02/07/83/16020783_32025511_480.jpg,Saint Laurent,double-breasted wool blazer,Tailoring
https://cdn-images.farfetch-contents.com/20/20/57/49/20205749_50608504_480.jpg,Palm Angels,double-breasted cropped blazer,Tailoring
https://cdn-images.farfetch-contents.com/19/83/67/09/19836709_44532857_480.jpg,Gucci,side-strap wool trousers,Tailoring
https://cdn-images.farfetch-contents.com/20/20/37/46/20203746_50603830_480.jpg,Palm Angels,tapered cargo trousers,Tailoring
https://cdn-images.farfetch-contents.com/16/69/89/64/16698964_36131861_480.jpg,Saint Laurent,pleated front slim-fit trousers,Tailoring
https://cdn-images.farfetch-contents.com/15/88/61/32/15886132_29322800_480.jpg,WARDROBE.NYC,x Browns 50 single-breasted wool blazer,Tailoring
https://cdn-images.farfetch-contents.com/20/25/96/39/20259639_50293846_480.jpg,MM6 Maison Margiela,pinstripe single-breasted blazer,Tailoring
https://cdn-images.farfetch-contents.com/17/05/70/62/17057062_37704530_480.jpg,Materiel,side-slit collarless blazer,Tailoring
https://cdn-images.farfetch-contents.com/17/37/48/09/17374809_37694492_480.jpg,The Frankie Shop,Bea single-breasted oversize blazer,Tailoring
https://cdn-images.farfetch-contents.com/15/30/41/97/15304197_27713626_480.jpg,The Frankie Shop,Bea single-breasted boxy blazer,Tailoring
https://cdn-images.farfetch-contents.com/15/36/01/49/15360149_36535093_480.jpg,WARDROBE.NYC,x Browns 50 zip cuff leggings,Tailoring
https://cdn-images.farfetch-contents.com/15/30/49/07/15304907_27402439_480.jpg,The Frankie Shop,Bea pleated trousers ,Tailoring
https://cdn-images.farfetch-contents.com/15/30/49/27/15304927_27867652_480.jpg,The Frankie Shop,Bea pleated trousers,Tailoring
https://cdn-images.farfetch-contents.com/17/37/48/55/17374855_37345670_480.jpg,The Frankie Shop,Bea tailored cropped trousers,Tailoring
https://cdn-images.farfetch-contents.com/17/05/65/52/17056552_37657863_480.jpg,Materiel,twill tailored trousers,Tailoring
https://cdn-images.farfetch-contents.com/17/37/63/12/17376312_37368959_480.jpg,The Frankie Shop,Gelso high-waisted darted trousers,Tailoring
https://cdn-images.farfetch-contents.com/17/67/95/74/17679574_38862345_480.jpg,Polo Ralph Lauren,embroidered-monogram double-knit blazer,Tailoring
https://cdn-images.farfetch-contents.com/20/84/51/70/20845170_50835282_480.jpg,Tagliatore,double-breasted trouser suit,Tailoring
https://cdn-images.farfetch-contents.com/21/24/45/98/21244598_51177730_480.jpg,Tagliatore,Parigi double-breasted suit,Tailoring
https://cdn-images.farfetch-contents.com/21/72/85/69/21728569_51704245_480.jpg,Tagliatore,pinstriped double-breasted wool suit,Tailoring
