image_urls,brand_names,descriptions,type
https://cdn-images.farfetch-contents.com/21/78/13/62/21781362_51601237_480.jpg,Gucci,tie-neck silk blouse,Top
https://cdn-images.farfetch-contents.com/21/52/04/02/21520402_51451752_480.jpg,Burberry,duck-print wraparound-collar blouse,Top
https://cdn-images.farfetch-contents.com/20/21/13/96/20211396_50876289_480.jpg,SANDRO,crystal-embellished cropped T-shirt,Top
https://cdn-images.farfetch-contents.com/20/36/79/33/20367933_50406170_480.jpg,Jil Sander,floral-print tied-neckline blouse,Top
https://cdn-images.farfetch-contents.com/19/91/73/39/19917339_50975543_480.jpg,KHAITE,The Argo lip-print shirt,Top
https://cdn-images.farfetch-contents.com/21/28/51/30/21285130_51274232_480.jpg,Alexander McQueen,denim bustier top,Top
https://cdn-images.farfetch-contents.com/20/27/08/48/20270848_51463039_480.jpg,Margherita MACCAPANI,floral-print zip-up hoodie,Top
https://cdn-images.farfetch-contents.com/20/47/33/10/20473310_51638848_480.jpg,GANNI,foil organic cotton strapless top,Top
https://cdn-images.farfetch-contents.com/17/61/01/11/17610111_39218733_480.jpg,Saint Laurent,button fastening waistcoat,Top
https://cdn-images.farfetch-contents.com/21/41/42/40/21414240_51410127_480.jpg,Burberry,check-pattern wool-blend shirt,Top
https://cdn-images.farfetch-contents.com/20/20/95/94/20209594_51281153_480.jpg,SANDRO,logo-embellished cropped sweatshirt,Top
https://cdn-images.farfetch-contents.com/20/92/12/69/20921269_51058629_480.jpg,Prada,logo-plaque poplin shirt,Top
https://cdn-images.farfetch-contents.com/20/21/13/79/20211379_51283892_480.jpg,SANDRO,Sliven cropped tank top,Top
https://cdn-images.farfetch-contents.com/20/93/70/58/20937058_51263570_480.jpg,Versace,Medusa '95 wool-blend top,Top
https://cdn-images.farfetch-contents.com/21/41/33/17/21413317_51309815_480.jpg,Burberry,Vintage Check wool-blend shirt ,Top
https://cdn-images.farfetch-contents.com/20/46/92/01/20469201_50904713_480.jpg,16Arlington,sequin-embellished T-shirt,Top
https://cdn-images.farfetch-contents.com/18/70/85/01/18708501_40511937_480.jpg,Prada,logo-plaque sleeveless vest top,Top
https://cdn-images.farfetch-contents.com/21/33/18/50/21331850_51221241_480.jpg,Gucci,photograph-print cropped cotton T-shirt,Top
https://cdn-images.farfetch-contents.com/20/85/92/18/20859218_50779143_480.jpg,Marine Serre,Second Skin mesh jacquard top,Top
https://cdn-images.farfetch-contents.com/20/27/03/55/20270355_50372798_480.jpg,Versace,all-over logo print crop top,Top
https://cdn-images.farfetch-contents.com/18/87/76/02/18877602_41049010_480.jpg,Marine Serre,Crescent Moon-print T-shirt,Top
https://cdn-images.farfetch-contents.com/20/04/70/45/20047045_51119453_480.jpg,Casablanca,Casa Way printed T-shirt ,Top
https://cdn-images.farfetch-contents.com/18/84/26/58/18842658_41109341_480.jpg,Marine Serre,logo-print detail trimmed bodysuit,Top
https://cdn-images.farfetch-contents.com/20/25/03/64/20250364_50503764_480.jpg,AMI Paris,embroidered-logo cotton sweatshirt ,Top
https://cdn-images.farfetch-contents.com/21/34/76/88/21347688_51335931_480.jpg,Jil Sander,striped cotton shirt,Top
https://cdn-images.farfetch-contents.com/20/20/96/00/20209600_50875217_480.jpg,SANDRO,striped crystal-embellished cropped top,Top
https://cdn-images.farfetch-contents.com/19/36/03/38/19360338_42566763_480.jpg,Saint Laurent,ruched strapless top,Top
https://cdn-images.farfetch-contents.com/20/11/19/55/20111955_45287569_480.jpg,Balmain,lurex striped vest top,Top
https://cdn-images.farfetch-contents.com/20/09/82/29/20098229_50032241_480.jpg,Saint Laurent,open-back wool top,Top
https://cdn-images.farfetch-contents.com/21/77/34/28/21773428_51680651_480.jpg,Casablanca,Paix Et Amour Tennis Club-print silk shirt,Top
https://cdn-images.farfetch-contents.com/20/25/08/25/20250825_51231224_480.jpg,TOM FORD,silk-satin lace camisole top,Top
https://cdn-images.farfetch-contents.com/21/41/52/83/21415283_51388918_480.jpg,Prada,argyle-intarsia cashmere polo top,Top
https://cdn-images.farfetch-contents.com/19/73/73/19/19737319_44133987_480.jpg,Prada,classic button-up shirt,Top
https://cdn-images.farfetch-contents.com/19/70/84/12/19708412_44158811_480.jpg,Ferragamo,circle-print strapless fitted top,Top
https://cdn-images.farfetch-contents.com/20/58/85/49/20588549_50593001_480.jpg,Miu Miu,logo-embroidered cropped poplin shirt,Top
https://cdn-images.farfetch-contents.com/19/39/64/27/19396427_45337560_480.jpg,SANDRO,crystal-embllished long-sleeve jumper,Top
https://cdn-images.farfetch-contents.com/18/42/99/11/18429911_41045037_480.jpg,Saint Laurent,high-neck long-sleeve blouse,Top
https://cdn-images.farfetch-contents.com/18/94/39/82/18943982_42647858_480.jpg,Balenciaga,strapless bustier top,Top
https://cdn-images.farfetch-contents.com/20/78/78/59/20787859_50744447_480.jpg,Versace,logo-jacquard corset top,Top
https://cdn-images.farfetch-contents.com/20/57/98/65/20579865_51181113_480.jpg,ETRO,ruffled paisley-print silk blouse,Top
https://cdn-images.farfetch-contents.com/19/40/37/96/19403796_43297178_480.jpg,Versace,Medusa Biggie crop hoodie,Top
https://cdn-images.farfetch-contents.com/19/99/79/51/19997951_50501549_480.jpg,Dolce & Gabbana,pussy-bow collar silk blouse,Top
https://cdn-images.farfetch-contents.com/19/20/02/50/19200250_45267796_480.jpg,Saint Laurent,ruched off-shoulder bodysuit,Top
https://cdn-images.farfetch-contents.com/17/96/65/24/17966524_39988242_480.jpg,Versace,Barocco-print long-sleeve shirt,Top
https://cdn-images.farfetch-contents.com/20/03/87/57/20038757_45110228_480.jpg,Saint Laurent,cropped panelled sweatshirt,Top
https://cdn-images.farfetch-contents.com/20/04/52/05/20045205_50626586_480.jpg,Dolce & Gabbana,leopard-print silk blouse,Top
https://cdn-images.farfetch-contents.com/20/84/66/97/20846697_50754820_480.jpg,Dolce & Gabbana,cherry-print silk blouse,Top
https://cdn-images.farfetch-contents.com/19/76/03/76/19760376_51409123_480.jpg,Jil Sander,tie-fastening wrap shirt,Top
https://cdn-images.farfetch-contents.com/21/09/48/25/21094825_51133280_480.jpg,Alexander McQueen,asymmetric sleeveless top,Top
https://cdn-images.farfetch-contents.com/19/47/48/61/19474861_50325885_480.jpg,Valentino Garavani,long-sleeve body,Top
https://cdn-images.farfetch-contents.com/20/13/98/97/20139897_50025818_480.jpg,Prada,logo-print long-sleeve shirt,Top
https://cdn-images.farfetch-contents.com/16/08/15/50/16081550_30148203_480.jpg,Gucci,Web-detail hoodie,Top
https://cdn-images.farfetch-contents.com/14/66/31/88/14663188_22997953_480.jpg,Burberry,Vintage Check button-down shirt,Top
