image_urls,brand_names,descriptions,type,event
https://cdn-images.farfetch-contents.com/21/29/19/21/21291921_51197068_480.jpg ,Prada,belted gabardine minidress,whole,formal
https://cdn-images.farfetch-contents.com/21/48/80/56/21488056_51416873_480.jpg ,Prada,patch-pocket virgin wool minidress,whole,formal
https://cdn-images.farfetch-contents.com/20/92/02/25/20920225_51062966_480.jpg ,Prada,graphic-print sleeveless dress,whole,formal
https://cdn-images.farfetch-contents.com/20/92/02/19/20920219_51062619_480.jpg ,Prada,bow-embellished cotton dress,whole,formal
https://cdn-images.farfetch-contents.com/20/92/02/18/20920218_51058536_480.jpg ,Prada,graphic-print asymmetric dress,whole,formal
https://cdn-images.farfetch-contents.com/20/24/05/53/20240553_50184582_480.jpg ,Prada,belted satin midi dress,whole,formal
https://cdn-images.farfetch-contents.com/20/14/22/76/20142276_50026152_480.jpg ,Prada,lace-panel sleeveless dress,whole,formal
https://cdn-images.farfetch-contents.com/21/58/34/27/21583427_51572849_480.jpg ,Prada,Re-Nylon triangle-logo minidress,whole,formal
https://cdn-images.farfetch-contents.com/18/34/95/22/18349522_39245735_480.jpg ,Prada,Guipure lace midi dress,whole,formal
https://cdn-images.farfetch-contents.com/19/60/70/85/19607085_43959745_480.jpg ,Prada,Technical Voile pleated dress,whole,formal
https://cdn-images.farfetch-contents.com/19/92/61/05/19926105_44860682_480.jpg ,Prada,triangle logo A-line denim dress,whole,formal
https://cdn-images.farfetch-contents.com/21/79/20/25/21792025_51617148_480.jpg ,Prada,Superposé sleeveless midi dress,whole,formal
https://cdn-images.farfetch-contents.com/19/30/18/09/19301809_44363102_480.jpg ,Prada,chainmail sequinned minidress,whole,formal
https://cdn-images.farfetch-contents.com/19/84/59/06/19845906_44452588_480.jpg ,Prada,triangle-logo sleeveless minidress,whole,formal
https://cdn-images.farfetch-contents.com/20/98/71/29/20987129_51056121_480.jpg ,Prada,safety pin-detail minidress,whole,formal
https://cdn-images.farfetch-contents.com/19/76/87/13/19768713_44250124_480.jpg ,Prada,cable-knit polo minidress,whole,formal
https://cdn-images.farfetch-contents.com/18/39/36/24/18393624_39427868_480.jpg ,Prada,logo-patch sleeveless dress,whole,formal
https://cdn-images.farfetch-contents.com/20/20/07/01/20200701_50117999_480.jpg ,Prada,floral-print crepe de chine dress,whole,formal
https://cdn-images.farfetch-contents.com/19/30/34/61/19303461_44588604_480.jpg ,Prada,Re-Nylon embellished pettifor dress,whole,formal
https://cdn-images.farfetch-contents.com/20/10/93/22/20109322_45287925_480.jpg ,Prada,piqué maxi dress,whole,formal
https://cdn-images.farfetch-contents.com/21/24/42/04/21244204_51255822_480.jpg ,Prada,logo-print Re-Nylon dress,whole,formal
https://cdn-images.farfetch-contents.com/19/30/27/69/19302769_42611626_480.jpg ,Prada,ruched cady midi dress,whole,formal
https://cdn-images.farfetch-contents.com/17/50/55/73/17505573_36520813_480.jpg ,Prada,crystal-embellished chiffon dress,whole,formal
https://cdn-images.farfetch-contents.com/19/80/36/72/19803672_44383807_480.jpg ,Prada,sleeveless leather mini dress,whole,formal
https://cdn-images.farfetch-contents.com/18/39/41/84/18394184_39429705_480.jpg ,Prada,fringed knit dress,whole,formal
https://cdn-images.farfetch-contents.com/17/50/57/12/17505712_36317259_480.jpg ,Prada,chain-strap dress,whole,formal
https://cdn-images.farfetch-contents.com/20/03/13/50/20031350_45031736_480.jpg ,Prada,lace-trim silk midi dress,whole,formal
https://cdn-images.farfetch-contents.com/19/30/34/43/19303443_42396139_480.jpg ,Prada,rhinestone-embellished mesh minidress,whole,formal
https://cdn-images.farfetch-contents.com/19/73/73/20/19737320_44133245_480.jpg ,Prada,off-shoulder sleeveless mini dress,whole,formal
https://cdn-images.farfetch-contents.com/19/76/74/73/19767473_44253882_480.jpg ,Prada,Re-Nylon sleeveless minidress,whole,formal
https://cdn-images.farfetch-contents.com/17/63/60/44/17636044_36887693_480.jpg ,Prada,rhinestone-embellished mini dress,whole,formal
https://cdn-images.farfetch-contents.com/19/92/61/06/19926106_44862375_480.jpg ,Prada,logo-plaque sleeveless denim dress,whole,formal
https://cdn-images.farfetch-contents.com/18/46/29/02/18462902_39651361_480.jpg ,Prada,lace-front shirt dress,whole,formal
https://cdn-images.farfetch-contents.com/20/13/36/19/20133619_50024558_480.jpg ,Prada,floral-embroidered lace midi dress,whole,formal
https://cdn-images.farfetch-contents.com/19/73/58/37/19735837_44124574_480.jpg ,Prada,silk shift maxi dress ,whole,formal
https://cdn-images.farfetch-contents.com/19/73/58/38/19735838_44126285_480.jpg ,Prada,satin printed maxi dress ,whole,formal
https://cdn-images.farfetch-contents.com/18/55/42/33/18554233_40106795_480.jpg ,Prada,triangle-logo shirtdress,whole,formal
https://cdn-images.farfetch-contents.com/19/30/33/97/19303397_42612057_480.jpg ,Prada,beaded halterneck minidress,whole,formal
https://cdn-images.farfetch-contents.com/19/37/23/60/19372360_42588256_480.jpg ,Prada,mock-neck wool mini dress,whole,formal
https://cdn-images.farfetch-contents.com/20/08/52/87/20085287_45205472_480.jpg ,Prada,logo-print silk midi dress,whole,formal
https://cdn-images.farfetch-contents.com/19/30/34/06/19303406_42613386_480.jpg ,Prada,logo-plaque stretch-jersey midi dress,whole,formal
https://cdn-images.farfetch-contents.com/19/30/18/12/19301812_42611689_480.jpg ,Prada,sleeveless Viscose minidress,whole,formal
https://cdn-images.farfetch-contents.com/19/44/53/94/19445394_43275146_480.jpg ,Prada,embroidered rhinestone mesh dress,whole,formal
https://cdn-images.farfetch-contents.com/19/49/24/95/19492495_43511204_480.jpg ,Prada,flared mid-length dress,whole,formal
https://cdn-images.farfetch-contents.com/19/73/72/97/19737297_44129121_480.jpg ,Prada,ruched-detail maxi dress ,whole,formal
https://cdn-images.farfetch-contents.com/19/73/73/02/19737302_44125609_480.jpg ,Prada,gingham-check midi dress,whole,formal
https://cdn-images.farfetch-contents.com/21/71/61/61/21716161_51644807_480.jpg ,Prada,belted wool-blend midi dress,whole,formal
https://cdn-images.farfetch-contents.com/19/73/72/91/19737291_44135650_480.jpg ,Prada,asymmetric mini dress ,whole,formal
https://cdn-images.farfetch-contents.com/18/39/51/61/18395161_39429373_480.jpg ,Prada,pleated voile dress,whole,formal
https://cdn-images.farfetch-contents.com/18/83/26/23/18832623_40951154_480.jpg ,Prada,sleeveless floral-embroidered knit dress,whole,formal
https://cdn-images.farfetch-contents.com/19/30/33/40/19303340_42612294_480.jpg ,Prada,logo-plaque ribbed-knit minidress,whole,formal
https://cdn-images.farfetch-contents.com/19/81/41/60/19814160_44379603_480.jpg ,Prada,floral-print midi dress ,whole,formal
https://cdn-images.farfetch-contents.com/19/30/33/95/19303395_42614167_480.jpg ,Prada,lace-panelled cady midi dress,whole,formal
https://cdn-images.farfetch-contents.com/17/80/15/07/17801507_37428897_480.jpg ,Prada,lace-up shirt dress,whole,formal
https://cdn-images.farfetch-contents.com/18/55/28/27/18552827_40108821_480.jpg ,Prada,rhinestone-embellished shift dress,whole,formal
https://cdn-images.farfetch-contents.com/21/28/22/13/21282213_51379839_480.jpg ,Prada,gathered sablé midi dress,whole,formal
https://cdn-images.farfetch-contents.com/21/76/77/32/21767732_51620822_480.jpg ,Prada,belted wool minidress ,whole,formal
https://cdn-images.farfetch-contents.com/16/78/66/75/16786675_33205984_480.jpg ,Prada,logo-plaque flared denim dress,whole,formal
https://cdn-images.farfetch-contents.com/19/73/58/39/19735839_44131295_480.jpg ,Prada,floral-print sheath dress ,whole,formal
https://cdn-images.farfetch-contents.com/18/83/25/35/18832535_40944488_480.jpg ,Prada,necklace-embellished Cady dress,whole,formal
https://cdn-images.farfetch-contents.com/18/39/52/05/18395205_39463033_480.jpg ,Prada,logo mini dress,whole,formal
https://cdn-images.farfetch-contents.com/19/69/70/37/19697037_44054293_480.jpg ,Prada,cable-knit cotton mini dress,whole,formal
https://cdn-images.farfetch-contents.com/20/96/30/90/20963090_51085261_480.jpg ,Prada,safety pin-embellished striped shirtdress,whole,formal
https://cdn-images.farfetch-contents.com/19/76/06/70/19760670_44204546_480.jpg ,Prada,silk bouclé-construction dress,whole,formal
https://cdn-images.farfetch-contents.com/19/30/35/28/19303528_42607287_480.jpg ,Prada,triangle-logo high neck dress,whole,formal
https://cdn-images.farfetch-contents.com/20/13/36/22/20133622_50026026_480.jpg ,Prada,jacquard pleated dress,whole,formal
https://cdn-images.farfetch-contents.com/19/49/24/93/19492493_43519136_480.jpg ,Prada,Re-Nylon logo-plaque minidress,whole,formal
https://cdn-images.farfetch-contents.com/20/91/45/79/20914579_50858835_480.jpg ,Prada,sleeveless wool midi dress,whole,formal
https://cdn-images.farfetch-contents.com/19/81/38/78/19813878_44379239_480.jpg ,Prada,satin mini dress,whole,formal
https://cdn-images.farfetch-contents.com/20/13/36/23/20133623_50025144_480.jpg ,Prada,crepe satin slip dress,whole,formal
https://cdn-images.farfetch-contents.com/21/28/13/14/21281314_51379666_480.jpg ,Prada,logo-plaque embroidered minidress,whole,formal
https://cdn-images.farfetch-contents.com/18/21/07/09/18210709_38766820_480.jpg ,Prada,sleeveless Re-Nylon dress,whole,formal
https://cdn-images.farfetch-contents.com/19/47/06/05/19470605_43512119_480.jpg ,Prada,fitted mid-length dress,whole,formal
https://cdn-images.farfetch-contents.com/21/29/66/96/21296696_51198547_480.jpg ,Prada,triangle-logo gabardine maxi dress,whole,formal
https://cdn-images.farfetch-contents.com/19/84/59/05/19845905_44451016_480.jpg ,Prada,pleated-skirt poplin shirtdress,whole,formal
https://cdn-images.farfetch-contents.com/15/95/28/46/15952846_29520957_480.jpg ,Prada,embroidered A-line dress,whole,formal
https://cdn-images.farfetch-contents.com/19/30/27/16/19302716_42498602_480.jpg ,Prada,Cady lace-panel minidress,whole,formal
https://cdn-images.farfetch-contents.com/19/49/24/94/19492494_43511231_480.jpg ,Prada,triangle logo hooded minidress,whole,formal
https://cdn-images.farfetch-contents.com/18/55/35/52/18553552_40108915_480.jpg ,Prada,lace-panel flared dress,whole,formal
https://cdn-images.farfetch-contents.com/19/73/58/43/19735843_44129070_480.jpg ,Prada,silk printed midi dress ,whole,formal
https://cdn-images.farfetch-contents.com/18/39/52/01/18395201_39521398_480.jpg ,Prada,long georgette dress,whole,formal
https://cdn-images.farfetch-contents.com/21/48/80/55/21488055_51414882_480.jpg ,Prada,cotton poplin shirtdress,whole,formal
https://cdn-images.farfetch-contents.com/21/00/62/21/21006221_51067211_480.jpg ,Prada,Re-Nylon mini dress,whole,formal
https://cdn-images.farfetch-contents.com/21/28/22/12/21282212_51379798_480.jpg ,Prada,cotton-poplin minidress,whole,formal
https://cdn-images.farfetch-contents.com/20/13/36/18/20133618_50025636_480.jpg ,Prada,lace-trimmed cotton midi dress,whole,formal
https://cdn-images.farfetch-contents.com/21/10/92/75/21109275_51086502_480.jpg ,Prada,logo-plaque sleeveless dress,whole,formal
https://cdn-images.farfetch-contents.com/20/98/61/30/20986130_51056531_480.jpg ,Prada,triangle-logo pleated minidress,whole,formal
https://cdn-images.farfetch-contents.com/19/73/73/21/19737321_44132774_480.jpg ,Prada,logo-embroidered organza midi dress,whole,formal
https://cdn-images.farfetch-contents.com/19/73/73/22/19737322_44131880_480.jpg ,Prada,organza midi shirt dress,whole,formal
https://cdn-images.farfetch-contents.com/19/84/83/91/19848391_44450886_480.jpg ,Prada,logo-plaque sleeveless midi dress,whole,formal
