image_urls,brand_names,descriptions,type,event
https://cdn-images.farfetch-contents.com/21/33/12/37/21331237_51810465_480.jpg ,Jimmy Choo,"x Jean Paul Gaultier 60mm
                                                                embellished shoess",shoes,formal
https://cdn-images.farfetch-contents.com/20/61/54/91/20615491_51726354_480.jpg ,Ferragamo,105mm wool wedge shoess,shoes,formal
https://cdn-images.farfetch-contents.com/17/99/69/59/17996959_38700180_480.jpg ,Scarosso,"x Brian Atwood Sutton slingback
                                                                shoess",shoes,formal
https://cdn-images.farfetch-contents.com/21/31/49/69/21314969_51465413_480.jpg ,Saint Laurent,Opyum 110mm slingback shoess,shoes,formal
https://cdn-images.farfetch-contents.com/19/95/03/95/19950395_50788421_480.jpg ,Valentino Garavani,"VLogo Signature slingback shoess
                                                            ",shoes,formal
https://cdn-images.farfetch-contents.com/19/78/45/02/19784502_50522186_480.jpg ,Maison Margiela,"Tabi 110mm rhinestone court
                                                                shoes",shoes,formal
https://cdn-images.farfetch-contents.com/17/99/69/60/17996960_41551364_480.jpg ,Scarosso,Sutton stiletto shoess,shoes,formal
https://cdn-images.farfetch-contents.com/20/11/29/02/20112902_45288498_480.jpg ,Balmain,"Ruby monogram slingback shoess
                                                            ",shoes,formal
https://cdn-images.farfetch-contents.com/19/95/00/49/19950049_50792329_480.jpg ,Valentino Garavani,"Rockstud Couture 50mm metallic
                                                                shoess",shoes,formal
https://cdn-images.farfetch-contents.com/21/31/49/90/21314990_51217409_480.jpg ,Saint Laurent,"Lee 110mm patent-leather
                                                                slingback shoess",shoes,formal
https://cdn-images.farfetch-contents.com/17/99/79/55/17997955_38699566_480.jpg ,Scarosso,"x Brian Atwood Gigi patent
                                                                leather shoess",shoes,formal
https://cdn-images.farfetch-contents.com/20/89/79/07/20897907_51589172_480.jpg ,Valentino Garavani,Rockstud 100mm shoess,shoes,formal
https://cdn-images.farfetch-contents.com/17/01/57/26/17015726_34046853_480.jpg ,Scarosso,"x Paula Cademartori Cinderella
                                                                leather shoess",shoes,formal
https://cdn-images.farfetch-contents.com/21/25/69/83/21256983_51141966_480.jpg ,Balmain,padded-design open-toe shoess,shoes,formal
https://cdn-images.farfetch-contents.com/20/27/68/05/20276805_50523939_480.jpg ,Maison Margiela,"glitter-detailing split-toe
                                                                shoess",shoes,formal
https://cdn-images.farfetch-contents.com/22/07/28/21/22072821_51774374_480.jpg ,Gucci,"Tiger Head-embellished slingback
                                                                shoess",shoes,formal
https://cdn-images.farfetch-contents.com/20/89/93/29/20899329_51364321_480.jpg ,Valentino Garavani,"Vlogo Signature 80mm slingback
                                                                shoess",shoes,formal
https://cdn-images.farfetch-contents.com/21/31/49/92/21314992_51433335_480.jpg ,Saint Laurent,"Lee 110mm slingback patent
                                                                leather shoess",shoes,formal
https://cdn-images.farfetch-contents.com/20/57/91/08/20579108_50819388_480.jpg ,JW Anderson,JW Bubble Heel leather shoess,shoes,formal
https://cdn-images.farfetch-contents.com/20/46/59/57/20465957_50956772_480.jpg ,Marni,"check pattern sling-back shoess
                                                            ",shoes,formal
https://cdn-images.farfetch-contents.com/19/76/31/00/19763100_51328820_480.jpg ,Proenza Schouler,"Quad 100mm metallic leather
                                                                shoess",shoes,formal
https://cdn-images.farfetch-contents.com/20/15/84/54/20158454_50206802_480.jpg ,Ferragamo,Eva 105mm leather shoess,shoes,formal
https://cdn-images.farfetch-contents.com/20/89/87/23/20898723_51289446_480.jpg ,ETRO,"Mary Jane 110mm embroidered
                                                                shoess",shoes,formal
https://cdn-images.farfetch-contents.com/21/55/62/19/21556219_51490256_480.jpg ,Gucci,slingback leather shoess,shoes,formal
https://cdn-images.farfetch-contents.com/21/44/81/44/21448144_51524362_480.jpg ,Amina Muaddi,Rosie 95mm slingback shoess,shoes,formal
https://cdn-images.farfetch-contents.com/17/99/79/49/17997949_38698438_480.jpg ,Scarosso,"x Brian Atwood Sutton slingback
                                                                shoess",shoes,formal
https://cdn-images.farfetch-contents.com/21/82/53/95/21825395_51699786_480.jpg ,Ferragamo,"55mm bow-detail slingback
                                                                leather shoess",shoes,formal
https://cdn-images.farfetch-contents.com/21/32/88/90/21328890_51807551_480.jpg ,Jimmy Choo,"x Jean Paul Gaultier 60mm shoess
                                                            ",shoes,formal
https://cdn-images.farfetch-contents.com/21/88/71/73/21887173_51683378_480.jpg ,Burberry,Storm 50mm leather shoess,shoes,formal
https://cdn-images.farfetch-contents.com/20/15/94/02/20159402_50531146_480.jpg ,Ferragamo,Eva pointed-toe shoess ,shoes,formal
https://cdn-images.farfetch-contents.com/21/57/23/51/21572351_51519023_480.jpg ,Brunello Cucinelli,"90mm Monili-chain suede shoess
                                                            ",shoes,formal
https://cdn-images.farfetch-contents.com/18/41/73/41/18417341_51457403_480.jpg ,Jil Sander,square shape shoess,shoes,formal
https://cdn-images.farfetch-contents.com/21/47/55/26/21475526_51446252_480.jpg ,JW Anderson,"105mm sculpted-heel leather
                                                                shoess ",shoes,formal
https://cdn-images.farfetch-contents.com/20/93/50/12/20935012_51453701_480.jpg ,Versace,"Medusa Head patent leather shoess
                                                            ",shoes,formal
https://cdn-images.farfetch-contents.com/19/50/56/44/19505644_50423683_480.jpg ,Amina Muaddi,Ami 95mm leather shoess,shoes,formal
https://cdn-images.farfetch-contents.com/17/99/79/56/17997956_38698752_480.jpg ,Scarosso,"x Brian Atwood Gigi suede shoess
                                                            ",shoes,formal
https://cdn-images.farfetch-contents.com/20/61/54/88/20615488_50993854_480.jpg ,Ferragamo,bow-detailing leather shoess ,shoes,formal
https://cdn-images.farfetch-contents.com/21/67/60/05/21676005_51622841_480.jpg ,Ferragamo,"Eva 50mm patent leather shoess
                                                            ",shoes,formal
https://cdn-images.farfetch-contents.com/20/69/84/52/20698452_51423904_480.jpg ,Saint Laurent,"Spontini 110mm satin slingback
                                                                shoess",shoes,formal
https://cdn-images.farfetch-contents.com/19/45/01/15/19450115_43369554_480.jpg ,Amina Muaddi,Begum 95mm transparent shoess,shoes,formal
https://cdn-images.farfetch-contents.com/17/22/24/33/17222433_43577302_480.jpg ,Jimmy Choo,"Bing 65mm patent leather mules
                                                            ",shoes,formal
https://cdn-images.farfetch-contents.com/20/91/58/84/20915884_50897960_480.jpg ,MACH & MACH,Double Bow 95mm satin shoess,shoes,formal
https://cdn-images.farfetch-contents.com/17/22/22/15/17222215_37468900_480.jpg ,Jimmy Choo,"Saeda 100mm crystal-anklet shoess
                                                            ",shoes,formal
https://cdn-images.farfetch-contents.com/19/99/53/40/19995340_50636151_480.jpg ,Jimmy Choo,Didi 45mm check-print shoess,shoes,formal
https://cdn-images.farfetch-contents.com/19/90/63/63/19906363_50961904_480.jpg ,Manolo Blahnik,"Hangisi 90mm crystal-embellished
                                                                shoess",shoes,formal
https://cdn-images.farfetch-contents.com/19/18/39/46/19183946_42634772_480.jpg ,Valentino Garavani,"Tan-Go 60mm patent leather shoess
                                                            ",shoes,formal
https://cdn-images.farfetch-contents.com/15/33/74/58/15337458_30574995_480.jpg ,Valentino Garavani,Rockstud 65mm cage shoess,shoes,formal
https://cdn-images.farfetch-contents.com/19/48/80/42/19488042_50333696_480.jpg ,Manolo Blahnik,"Hangisi 90mm crystal-buckle
                                                                shoess",shoes,formal
https://cdn-images.farfetch-contents.com/19/31/05/51/19310551_43486187_480.jpg ,Aquazzura,Gatsby 105mm slingback shoess,shoes,formal
https://cdn-images.farfetch-contents.com/19/50/49/53/19504953_50397366_480.jpg ,Amina Muaddi,Begum 110mm shoess,shoes,formal
https://cdn-images.farfetch-contents.com/20/96/67/49/20966749_50986019_480.jpg ,Manolo Blahnik,"Hangisi 105mm
                                                                crystal-embellished shoess ",shoes,formal
