image_urls,brand_names,descriptions,type,event
https://cdn-images.farfetch-contents.com/16/02/07/83/16020783_32025511_480.jpg ,Saint Laurent,double-breasted wool blazer,jacket,meeting
https://cdn-images.farfetch-contents.com/20/20/57/49/20205749_50608504_480.jpg ,Palm Angels,double-breasted cropped blazer,jacket,meeting
https://cdn-images.farfetch-contents.com/15/88/61/32/15886132_29322800_480.jpg ,WARDROBE.NYC,x Browns 50 single-breasted wool blazer,jacket,meeting
https://cdn-images.farfetch-contents.com/17/05/70/62/17057062_37704530_480.jpg ,Materiel,side-slit collarless blazer,jacket,meeting
https://cdn-images.farfetch-contents.com/20/25/96/39/20259639_50293846_480.jpg ,MM6 Maison Margiela,pinstripe single-breasted blazer,jacket,meeting
https://cdn-images.farfetch-contents.com/17/37/48/09/17374809_37694492_480.jpg ,The Frankie Shop,Bea single-breasted oversize blazer,jacket,meeting
https://cdn-images.farfetch-contents.com/15/30/41/97/15304197_27713626_480.jpg ,The Frankie Shop,Bea single-breasted boxy blazer,jacket,meeting
https://cdn-images.farfetch-contents.com/16/80/56/49/16805649_34071650_480.jpg ,Jil Sander,collarless single breasted blazer,jacket,meeting
https://cdn-images.farfetch-contents.com/17/67/95/74/17679574_38862345_480.jpg ,Polo Ralph Lauren,embroidered-monogram double-knit blazer,jacket,meeting
https://cdn-images.farfetch-contents.com/19/90/00/11/19900011_50135186_480.jpg ,Rebecca Vallance,Carine tweed single-breasted blazer,jacket,meeting
https://cdn-images.farfetch-contents.com/15/63/01/90/15630190_32433858_480.jpg ,MARANT ÉTOILE,Charly tweed single-breasted blazer,jacket,meeting
https://cdn-images.farfetch-contents.com/17/73/05/53/17730553_39045109_480.jpg ,Balenciaga,Shrunk Tuxedo double-breasted jacket,jacket,meeting
https://cdn-images.farfetch-contents.com/20/25/96/28/20259628_50294457_480.jpg ,MM6 Maison Margiela,paint-splatter tailored blazer,jacket,meeting
https://cdn-images.farfetch-contents.com/19/17/95/04/19179504_42608139_480.jpg ,Alexander McQueen,slashed harness wool jacket,jacket,meeting
