image_urls,brand_names,descriptions,type,event
https://cdn-images.farfetch-contents.com/20/71/88/57/20718857_51468352_480.jpg ,Saint Laurent,lamskin pencil midi skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/19/75/20/95/19752095_44581688_480.jpg ,Saint Laurent,semi-sheer silk skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/20/69/79/13/20697913_51422257_480.jpg ,Saint Laurent,silk pencil midi skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/18/77/85/21/18778521_40810371_480.jpg ,Prada,contrast-panel midi skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/15/95/28/00/15952800_29515795_480.jpg ,Prada,straight-fit knee-length skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/19/76/06/40/19760640_44198832_480.jpg ,Prada,midi leather pencil skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/19/35/79/90/19357990_42593003_480.jpg ,Saint Laurent,high-waisted pencil skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/20/70/00/61/20700061_50634934_480.jpg ,Saint Laurent,elasticated-waistband pencil skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/19/30/34/52/19303452_42394800_480.jpg ,Prada,embellished-mesh midi skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/16/99/35/07/16993507_34063703_480.jpg ,Burberry,Vintage Check jacquard midi skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/21/31/70/23/21317023_51215394_480.jpg ,Saint Laurent,elasticated-waist knitted pencil skirt ,bottom,meeting
https://cdn-images.farfetch-contents.com/18/69/34/55/18693455_40833129_480.jpg ,Prada,wool mesh midi skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/20/92/12/75/20921275_51059473_480.jpg ,Prada,padded pencil skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/17/50/48/42/17504842_36512456_480.jpg ,Prada,logo-waistband pencil skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/20/13/36/20/20133620_50027800_480.jpg ,Prada,ankle-length pencil skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/20/70/01/72/20700172_51214827_480.jpg ,Saint Laurent,pinstriped pencil skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/21/31/70/22/21317022_51217577_480.jpg ,Saint Laurent,elasticated-waistband pencil skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/19/76/07/15/19760715_44201110_480.jpg ,Prada,triangle-logo pencil skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/18/94/39/67/18943967_42650204_480.jpg ,Balenciaga,front slit skirt ,bottom,meeting
https://cdn-images.farfetch-contents.com/19/30/27/23/19302723_42499769_480.jpg ,Prada,beaded mesh pencil skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/18/77/97/69/18779769_40798885_480.jpg ,Prada,contrast-panel midi skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/21/45/23/16/21452316_51411838_480.jpg ,Saint Laurent,tartan-check pencil skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/20/83/95/35/20839535_50749707_480.jpg ,Prada,high-waist pencil skirt,bottom,meeting
https://cdn-images.farfetch-contents.com/18/94/39/77/18943977_42708127_480.jpg ,Balenciaga,Hourglass pinstripe pencil skirt,bottom,meeting
