image_urls,brand_names,descriptions,type,event
https://cdn-images.farfetch-contents.com/21/38/86/16/21388616_51596442_480.jpg ,b+ab,single-breasted tweed skirt suit,whole,meeting
https://cdn-images.farfetch-contents.com/21/28/49/72/21284972_51279350_480.jpg ,Self-Portrait,bouclé chiffon midi dress,whole,meeting
https://cdn-images.farfetch-contents.com/21/38/86/25/21388625_51455807_480.jpg ,b+ab,single-breasted tweed skirt suit,whole,meeting
https://cdn-images.farfetch-contents.com/16/87/11/81/16871181_33653251_480.jpg ,Saiid Kobeisy,bead-detail skirt suit,whole,meeting
https://cdn-images.farfetch-contents.com/21/48/39/43/21483943_51600016_480.jpg ,b+ab,cotton-blend skirt suit ,whole,meeting
https://cdn-images.farfetch-contents.com/21/35/65/46/21356546_51371560_480.jpg ,Self-Portrait,houndstooth-check bouclé skirt suit,whole,meeting
https://cdn-images.farfetch-contents.com/21/38/77/86/21387786_51456217_480.jpg ,b+ab,single-breasted tweed skirt suit,whole,meeting
https://cdn-images.farfetch-contents.com/21/48/63/36/21486336_51599190_480.jpg ,b+ab,cotton-blend skirt suit ,whole,meeting
https://cdn-images.farfetch-contents.com/16/74/93/72/16749372_35278675_480.jpg ,Mônot,cut-out maxi skirt,whole,meeting
https://cdn-images.farfetch-contents.com/21/82/81/14/21828114_51764951_480.jpg ,b+ab,checked buttoned suit skirt ,whole,meeting
https://cdn-images.farfetch-contents.com/19/89/93/75/19899375_50134660_480.jpg ,Rebecca Vallance,Carine tweed tailored trousers,whole,meeting
https://cdn-images.farfetch-contents.com/19/67/23/21/19672321_44066509_480.jpg ,Dsquared2,tailored single-breasted suit,whole,meeting
https://cdn-images.farfetch-contents.com/21/38/86/16/21388616_51596442_480.jpg ,b+ab,single-breasted tweed skirt suit,whole,meeting
https://cdn-images.farfetch-contents.com/21/38/86/25/21388625_51455807_480.jpg ,b+ab,single-breasted tweed skirt suit,whole,meeting
