image_urls,brand_names,descriptions,type,event
https://cdn-images.farfetch-contents.com/19/83/67/09/19836709_44532857_480.jpg ,Gucci,side-strap wool bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/20/20/37/46/20203746_50603830_480.jpg ,Palm Angels,tapered cargo bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/16/69/89/64/16698964_36131861_480.jpg ,Saint Laurent,pleated front slim-fit bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/17/42/76/65/17427665_37939080_480.jpg ,Alexander McQueen,bootcut tailored bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/15/65/40/57/15654057_30731017_480.jpg ,Alexander McQueen,mid-rise flared bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/15/36/01/49/15360149_36535093_480.jpg ,WARDROBE.NYC,x Browns 50 zip cuff leggings,bottom,meeting
https://cdn-images.farfetch-contents.com/15/30/49/07/15304907_27402439_480.jpg ,The Frankie Shop,Bea pleated bottom ,bottom,meeting
https://cdn-images.farfetch-contents.com/15/30/49/27/15304927_27867652_480.jpg ,The Frankie Shop,Bea pleated bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/17/37/48/55/17374855_37345670_480.jpg ,The Frankie Shop,Bea tailored cropped bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/17/05/65/52/17056552_37657863_480.jpg ,Materiel,twill tailored bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/20/20/37/45/20203745_50604862_480.jpg ,Palm Angels,knit-tape straight bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/16/07/80/72/16078072_30535515_480.jpg ,Brunello Cucinelli,tapered cropped bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/21/90/03/54/21900354_51749064_480.jpg ,Tagliatore,double-breasted two-piece suit,bottom,meeting
https://cdn-images.farfetch-contents.com/20/20/57/36/20205736_51055373_480.jpg ,Palm Angels,crochet-stripe cotton bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/12/64/71/24/12647124_29992144_480.jpg ,Thom Browne,  cropped slim leg bottom  ,bottom,meeting
https://cdn-images.farfetch-contents.com/19/89/85/70/19898570_50263462_480.jpg ,Rebecca Vallance,Camryn pinstripe wide-leg bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/15/48/77/37/15487737_28009706_480.jpg ,Alexander McQueen,high-waisted wool bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/17/37/63/12/17376312_37368959_480.jpg ,The Frankie Shop,Gelso high-waisted darted bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/15/33/26/33/15332633_28356820_480.jpg ,Ferragamo,high-waist tailored bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/17/42/67/99/17426799_38494188_480.jpg ,Alexander McQueen,pleat detail tapered bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/14/74/83/76/14748376_25643996_480.jpg ,Off-White,contrasting trim tailored bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/21/24/93/80/21249380_51269728_480.jpg ,Eleventy,striped single-breasted suit,bottom,meeting
https://cdn-images.farfetch-contents.com/19/89/93/88/19899388_50261069_480.jpg ,Rebecca Vallance,Carmyn pinstripe-pattern tapered bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/21/24/85/51/21248551_51269270_480.jpg ,Eleventy,striped single-breasted suit,bottom,meeting
https://cdn-images.farfetch-contents.com/19/62/68/94/19626894_45019322_480.jpg ,Anna Quan,high-waisted suit bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/17/77/14/58/17771458_37497444_480.jpg ,TOTEME,wide-leg bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/19/89/93/90/19899390_50137269_480.jpg ,Rebecca Vallance,Carine tweed tailored bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/19/89/93/75/19899375_50134660_480.jpg ,Rebecca Vallance,Carine tweed tailored bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/20/94/13/22/20941322_51090132_480.jpg ,Dsquared2,single-breasted suit,bottom,meeting
https://cdn-images.farfetch-contents.com/19/24/60/07/19246007_42428116_480.jpg ,Brunello Cucinelli,straight-leg tailored bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/14/44/81/35/14448135_21321451_480.jpg ,Saint Laurent,tapered tailored bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/15/37/41/10/15374110_40129729_480.jpg ,Off-White,psychedelic houndstooth-print bottom,bottom,meeting
https://cdn-images.farfetch-contents.com/19/89/93/75/19899375_50134660_480.jpg ,Rebecca Vallance,Carine tweed tailored bottom,bottom,meeting
