image_urls,brand_names,descriptions,type,event
https://cdn-images.farfetch-contents.com/21/74/80/76/21748076_51635363_480.jpg ,Oscar de la Renta,Tiger chenille jacquard minidress,whole,night-out
https://cdn-images.farfetch-contents.com/21/00/81/72/21008172_51108523_480.jpg ,Vivienne Westwood,leopard-print draped strapless minidress,whole,night-out
https://cdn-images.farfetch-contents.com/20/24/14/71/20241471_51355157_480.jpg ,Missoni,striped metallic mini dress,whole,night-out
https://cdn-images.farfetch-contents.com/20/93/50/69/20935069_51259982_480.jpg ,Versace,Barocco-print slip minidress,whole,night-out
https://cdn-images.farfetch-contents.com/19/82/63/49/19826349_51326297_480.jpg ,GAUGE81,Punta tulle-panel midi dress,whole,night-out
https://cdn-images.farfetch-contents.com/20/09/62/49/20096249_51075480_480.jpg ,Maria Lucia Hohan,Janette plissé strapless dress,whole,night-out
https://cdn-images.farfetch-contents.com/21/10/10/33/21101033_51201025_480.jpg ,Jacquemus,La Robe Taffetas minidress,whole,night-out
https://cdn-images.farfetch-contents.com/20/04/52/51/20045251_45267199_480.jpg ,Dolce & Gabbana,graphic-print square-neck dress,whole,night-out
https://cdn-images.farfetch-contents.com/20/24/03/02/20240302_50196298_480.jpg ,Oscar de la Renta,Dahlia Faille strapless dress,whole,night-out
https://cdn-images.farfetch-contents.com/20/04/39/86/20043986_45265727_480.jpg ,Dolce & Gabbana,graphic-print midi dress,whole,night-out
https://cdn-images.farfetch-contents.com/19/51/01/12/19510112_50498978_480.jpg ,Solace London,Pia puff-sleeve maxi dress,whole,night-out
https://cdn-images.farfetch-contents.com/20/24/19/83/20241983_51073818_480.jpg ,Ferragamo,layered virgin wool maxi dress,whole,night-out
https://cdn-images.farfetch-contents.com/20/80/62/46/20806246_50878183_480.jpg ,ROTATE,lace-up midi dress,whole,night-out
https://cdn-images.farfetch-contents.com/19/90/67/35/19906735_50802016_480.jpg ,Aya Muse,Chyha sequin-embellished maxi dress,whole,night-out
https://cdn-images.farfetch-contents.com/20/04/52/52/20045252_45266103_480.jpg ,Dolce & Gabbana,Majolica-print corset dress,whole,night-out
https://cdn-images.farfetch-contents.com/19/65/77/65/19657765_50758274_480.jpg ,MACH & MACH,Lotus Flower silk gown,whole,night-out
https://cdn-images.farfetch-contents.com/20/83/99/66/20839966_50764512_480.jpg ,Stella McCartney,asymmetric twist-detail pleated dress,whole,night-out
https://cdn-images.farfetch-contents.com/20/47/35/90/20473590_50541552_480.jpg ,Reformation,Joana floral-print silk dress,whole,night-out
https://cdn-images.farfetch-contents.com/20/16/10/82/20161082_50476813_480.jpg ,STAUD,Landscape corset minidress,whole,night-out
https://cdn-images.farfetch-contents.com/20/52/78/32/20527832_50514393_480.jpg ,Victoria Beckham,gathered midi dress,whole,night-out
https://cdn-images.farfetch-contents.com/20/57/50/75/20575075_50550411_480.jpg ,PUCCI,Iride-print one-shoulder maxi dress,whole,night-out
https://cdn-images.farfetch-contents.com/20/95/38/19/20953819_50921779_480.jpg ,adidas,"Samba OG ""Beige/White"" sneakers",whole,night-out
https://cdn-images.farfetch-contents.com/16/65/22/47/16652247_32587810_480.jpg ,adidas,"Samba OG ""White/Black"" sneakers",whole,night-out
https://cdn-images.farfetch-contents.com/20/95/38/18/20953818_50921782_480.jpg ,adidas,"Samba OG ""Green/White"" sneakers",whole,night-out
https://cdn-images.farfetch-contents.com/20/27/32/81/20273281_50251489_480.jpg ,adidas,"Samba OG ""Court Green"" sneakers",whole,night-out
https://cdn-images.farfetch-contents.com/17/03/72/24/17037224_34217457_480.jpg ,adidas,"Samba ADV ""White/Black"" sneakers",whole,night-out
https://cdn-images.farfetch-contents.com/18/29/86/87/18298687_39140689_480.jpg ,VEJA,Campo lace-up sneakers,whole,night-out
https://cdn-images.farfetch-contents.com/16/40/35/69/16403569_31752432_480.jpg ,Nike,"Dunk Low Retro ""Black / White - Panda"" sneakers",whole,night-out
https://cdn-images.farfetch-contents.com/18/78/65/19/18786519_40721703_480.jpg ,adidas,Samba OG sneakers,whole,night-out
https://cdn-images.farfetch-contents.com/20/91/95/27/20919527_50824275_480.jpg ,adidas,"Handball Spezial ""Aluminium"" sneakers",whole,night-out
https://cdn-images.farfetch-contents.com/20/67/56/87/20675687_50560781_480.jpg ,adidas,Gazelle Indoor suede sneakers,whole,night-out
https://cdn-images.farfetch-contents.com/21/35/79/35/21357935_51590240_480.jpg ,adidas,"Gazelle Bold ""Cream Collegiate/Green"" sneakers",whole,night-out
https://cdn-images.farfetch-contents.com/15/25/25/06/15252506_26432836_480.jpg ,Nike,"x Supreme Air Force 1 Low ""Mini Box Logo Black"" sneakers",whole,night-out
