image_urls,brand_names,descriptions,type,event
https://cdn-images.farfetch-contents.com/21/92/90/22/21929022_51724318_480.jpg ,Rabanne,glossy finish gathered maxiskirt,bottom,night-out
https://cdn-images.farfetch-contents.com/20/47/33/12/20473312_51637157_480.jpg ,GANNI,metallic-finish denim midi skirt,bottom,night-out
https://cdn-images.farfetch-contents.com/20/92/02/35/20920235_51061718_480.jpg ,Prada,high-waisted A-line skirt ,bottom,night-out
https://cdn-images.farfetch-contents.com/20/87/53/06/20875306_51325146_480.jpg ,Valentino Garavani,Crepe Couture floral-appliqué skorts,bottom,night-out
https://cdn-images.farfetch-contents.com/21/43/37/28/21433728_51394077_480.jpg ,Versace,wool-blend pencil midi skirt,bottom,night-out
https://cdn-images.farfetch-contents.com/20/18/72/30/20187230_51510997_480.jpg ,TOVE,Ari jacquard pencil skirt,bottom,night-out
https://cdn-images.farfetch-contents.com/21/33/20/63/21332063_51537710_480.jpg ,Rabanne,metallic feathers mini skirt ,bottom,night-out
https://cdn-images.farfetch-contents.com/20/38/45/79/20384579_50531126_480.jpg ,Rabanne,tiger-print stretch-cotton miniskirt,bottom,night-out
https://cdn-images.farfetch-contents.com/20/88/97/53/20889753_50770249_480.jpg ,Rosie Assoulin,I Sheer Right Through You plaid skirt ,bottom,night-out
https://cdn-images.farfetch-contents.com/20/26/13/31/20261331_50670706_480.jpg ,Rabanne,floral-lace midi skirt,bottom,night-out
https://cdn-images.farfetch-contents.com/19/90/68/54/19906854_50663111_480.jpg ,Christopher John Rogers,colour-block A-line skirt,bottom,night-out
https://cdn-images.farfetch-contents.com/20/71/78/62/20717862_50771057_480.jpg ,Altuzarra,Lemnos tie-dye pleated maxi skirt,bottom,night-out
https://cdn-images.farfetch-contents.com/20/48/33/29/20483329_50666614_480.jpg ,Rabanne,embellished fringed crochet miniskirt,bottom,night-out
