image_urls,brand_names,descriptions,event,type
https://cdn-images.farfetch-contents.com/20/70/01/91/20700191_51306450_480.jpg ,Saint Laurent,roll-neck silk blouse,night-out,top
https://cdn-images.farfetch-contents.com/21/92/76/89/21927689_51723875_480.jpg ,Rabanne,glossy-finish long-sleeved cropped top,night-out,top
https://cdn-images.farfetch-contents.com/20/47/33/10/20473310_51638848_480.jpg ,GANNI,foil organic cotton strapless top,night-out,top
https://cdn-images.farfetch-contents.com/21/37/33/49/21373349_51442452_480.jpg ,KHAITE,The Helene ribbed top,night-out,top
https://cdn-images.farfetch-contents.com/21/43/46/80/21434680_51393215_480.jpg ,Versace,Medusa '95 strapless blouse,night-out,top
https://cdn-images.farfetch-contents.com/20/18/67/75/20186775_51512593_480.jpg ,TOVE,Gracie strapless top,night-out,top
https://cdn-images.farfetch-contents.com/21/61/37/44/21613744_51490667_480.jpg ,16Arlington,Salina feather-detail blouse,night-out,top
https://cdn-images.farfetch-contents.com/20/98/81/83/20988183_51145521_480.jpg ,Blumarine,metal-embellishment tulle top,night-out,top
https://cdn-images.farfetch-contents.com/20/46/92/01/20469201_50904713_480.jpg ,16Arlington,sequin-embellished T-shirt,night-out,top
https://cdn-images.farfetch-contents.com/21/23/13/90/21231390_51206325_480.jpg ,Jacquemus,Le haut Spalla off-shoulder blouse,night-out,top
https://cdn-images.farfetch-contents.com/20/88/97/41/20889741_50770666_480.jpg ,Rosie Assoulin,I Sheer Right Through You plaid bustier ,night-out,top
https://cdn-images.farfetch-contents.com/20/62/40/77/20624077_50601161_480.jpg ,Rabanne,fringed metallic cut-out top,night-out,top
https://cdn-images.farfetch-contents.com/21/51/59/11/21515911_51539242_480.jpg ,Versace,Medusa '95 leather bustier top,night-out,top
https://cdn-images.farfetch-contents.com/20/26/31/86/20263186_50292865_480.jpg ,The Attico,sequin-embellished halterneck top,night-out,top
https://cdn-images.farfetch-contents.com/20/35/83/83/20358383_50441001_480.jpg ,Rabanne,bead-embellished cropped top,night-out,top
