image_urls,brand_names,descriptions,type
https://cdn-images.farfetch-contents.com/19/90/72/25/19907225_45285051_480.jpg,Saint Laurent Eyewear,SLP Blaze oversized-frame sunglasses,accessory
https://cdn-images.farfetch-contents.com/21/16/41/14/21164114_51193913_480.jpg,Jacquemus,Le Compact Bambino leather wallet ,accessory
https://cdn-images.farfetch-contents.com/19/48/69/17/19486917_44787933_480.jpg,Monica Vinader,oval pebbled-leather jewellery box,accessory
https://cdn-images.farfetch-contents.com/19/94/96/10/19949610_50791773_480.jpg,Valentino Garavani,VLogo Signature reversible leather belt,accessory
https://cdn-images.farfetch-contents.com/18/64/18/98/18641898_40727313_480.jpg,Ruslan Baginskiy,embroidered monogram baker boy hat,accessory
https://cdn-images.farfetch-contents.com/20/25/08/56/20250856_50191183_480.jpg,Gucci, medium Blondie chain wallet,accessory
https://cdn-images.farfetch-contents.com/17/26/22/55/17262255_38673393_480.jpg,Monica Vinader,leather travel jewellery box,accessory
https://cdn-images.farfetch-contents.com/21/54/79/53/21547953_51539654_480.jpg,Valentino Garavani,pointed-tip wool-silk tie,accessory
https://cdn-images.farfetch-contents.com/20/25/16/45/20251645_50209609_480.jpg,Miu Miu Eyewear,Runway frameless sunglasses,accessory
https://cdn-images.farfetch-contents.com/21/53/55/18/21535518_51450701_480.jpg,Burberry,EDK knight-motif fringed-edge scarf,accessory
https://cdn-images.farfetch-contents.com/17/26/14/57/17261457_40612555_480.jpg,Monica Vinader,oval leather jewellery box,accessory
https://cdn-images.farfetch-contents.com/20/00/85/88/20008588_51386398_480.jpg,Jacquemus,Le Bonnet merino-wool beanie,accessory
https://cdn-images.farfetch-contents.com/17/26/34/88/17263488_38842289_480.jpg,Monica Vinader,leather travel jewellery box,accessory
https://cdn-images.farfetch-contents.com/19/92/56/83/19925683_44646257_480.jpg,Gucci Eyewear,Interlocking G rectangle-frame sunglasses,accessory
https://cdn-images.farfetch-contents.com/20/00/83/55/20008355_50490371_480.jpg,Jacquemus,L'écharpe Jacquemus virgin-wool scarf,accessory
https://cdn-images.farfetch-contents.com/20/24/70/55/20247055_51080052_480.jpg,Saint Laurent,Cassandre python-effect leather wallet,accessory
