image_urls,brand_names,descriptions,type
https://cdn-images.farfetch-contents.com/20/91/45/85/20914585_50910898_480.jpg,Miu Miu,buckle-detail leather shoess,shoes
https://cdn-images.farfetch-contents.com/21/33/05/43/21330543_51807325_480.jpg,Jimmy Choo,x Jean Paul Gaultier 90mm over-the-knee shoess,shoes
https://cdn-images.farfetch-contents.com/17/71/78/75/17717875_37302886_480.jpg,Scarosso,Kim leather shoess,shoes
https://cdn-images.farfetch-contents.com/20/47/11/51/20471151_50841822_480.jpg,ETRO,debossed-logo leather riding shoess,shoes
https://cdn-images.farfetch-contents.com/20/19/57/28/20195728_50278252_480.jpg,TOTEME,The City 50mm leather Chelsea shoess,shoes
https://cdn-images.farfetch-contents.com/21/34/99/87/21349987_51613880_480.jpg,Magda Butrym,105mm shearling folded shoess,shoes
https://cdn-images.farfetch-contents.com/20/53/42/65/20534265_50565397_480.jpg,Scarosso,denim 85mm thigh-high shoess,shoes
https://cdn-images.farfetch-contents.com/20/36/93/32/20369332_50824831_480.jpg,Jil Sander,block-heel metallic-finish shoess,shoes
https://cdn-images.farfetch-contents.com/21/51/48/23/21514823_51539233_480.jpg,Versace,Vagabond leather shoess,shoes
https://cdn-images.farfetch-contents.com/20/69/91/26/20699126_51458492_480.jpg,Saint Laurent,Hacker 110mm knee-high shoess ,shoes
https://cdn-images.farfetch-contents.com/17/71/84/42/17718442_37277128_480.jpg,Scarosso,Cara lace-up shoess,shoes
https://cdn-images.farfetch-contents.com/19/99/42/13/19994213_50638299_480.jpg,Jimmy Choo,Cece 80mm stud-embellished shoess,shoes
https://cdn-images.farfetch-contents.com/16/11/23/93/16112393_30418605_480.jpg,Scarosso,Elena Chelsea shoess,shoes
https://cdn-images.farfetch-contents.com/20/89/93/20/20899320_51363439_480.jpg,Valentino Garavani,Rockstud-embellished leather ankle shoess,shoes
https://cdn-images.farfetch-contents.com/21/50/30/60/21503060_51517893_480.jpg,ISABEL MARANT,Dewina leather ankle shoess,shoes
https://cdn-images.farfetch-contents.com/19/78/44/87/19784487_50523306_480.jpg,Maison Margiela,Tabi split-toe leather shoess,shoes
https://cdn-images.farfetch-contents.com/20/11/41/24/20114124_50166933_480.jpg,Balenciaga,Witch high-heel leather shoess,shoes
https://cdn-images.farfetch-contents.com/21/29/77/51/21297751_51198137_480.jpg,Prada,Monolith leather combat shoess,shoes
https://cdn-images.farfetch-contents.com/21/35/36/27/21353627_51276691_480.jpg,KHAITE,Marfa metallic leather shoess,shoes
https://cdn-images.farfetch-contents.com/21/33/12/67/21331267_51685629_480.jpg,Jimmy Choo,x Jean Paul Gaultier 90mm cuff over-the-knee shoess,shoes
https://cdn-images.farfetch-contents.com/16/08/70/63/16087063_32567460_480.jpg,Diesel,D-YUCCA OTK thigh-high shoess,shoes
https://cdn-images.farfetch-contents.com/20/27/30/38/20273038_50417674_480.jpg,Rick Owens,Stocking over-the-kee shoess,shoes
https://cdn-images.farfetch-contents.com/18/62/35/28/18623528_40260321_480.jpg,KHAITE,The Dallas 45mm leather ankle shoess,shoes
https://cdn-images.farfetch-contents.com/20/22/58/25/20225825_50554458_480.jpg,Paris Texas,115mm over-the-knee shoess,shoes
https://cdn-images.farfetch-contents.com/21/51/88/92/21518892_51474363_480.jpg,Prada,triangle-logo leather combat shoess,shoes
https://cdn-images.farfetch-contents.com/20/20/63/78/20206378_50701314_480.jpg,SANDRO,stacked-heel leather ankle shoess,shoes
https://cdn-images.farfetch-contents.com/19/99/42/18/19994218_50606911_480.jpg,Jimmy Choo,Alizze 85mm leather shoess,shoes
https://cdn-images.farfetch-contents.com/21/28/13/16/21281316_51379128_480.jpg,Prada,triangle-logo suede shoess,shoes
https://cdn-images.farfetch-contents.com/20/71/79/08/20717908_50709521_480.jpg,Prada,logo plaque brushed-effect ankle shoess,shoes
https://cdn-images.farfetch-contents.com/17/92/20/00/17922000_40607550_480.jpg,ISABEL MARANT,Denvee knee-length shoess,shoes
https://cdn-images.farfetch-contents.com/18/94/52/24/18945224_42186124_480.jpg,Balenciaga,x adidas Pantashoes track pants,shoes
https://cdn-images.farfetch-contents.com/20/23/40/56/20234056_50901698_480.jpg,Moncler,Larue chelsea shoess,shoes
https://cdn-images.farfetch-contents.com/19/81/20/47/19812047_50851285_480.jpg,KHAITE,Marfa 30mm leather ankle shoess,shoes
