image_urls,brand_names,descriptions,event,type
https://cdn-images.farfetch-contents.com/20/87/12/23/20871223_51502851_480.jpg,New Balance,5050 low-top leather sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/86/40/88/21864088_51659749_480.jpg,Gucci,Screener leather sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/78/47/29/20784729_51612985_480.jpg,Balenciaga,Track low-top sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/13/52/74/20135274_45312076_480.jpg,Gucci,Original GG canvas sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/55/65/25/21556525_51523528_480.jpg,Lanvin,Curb leather sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/40/26/53/20402653_51404393_480.jpg,Lanvin,Curb lace-up sneakers,others,shoes
https://cdn-images.farfetch-contents.com/19/67/31/71/19673171_50497675_480.jpg,MM6 Maison Margiela X Salomon,numbers-motif drawstring sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/35/94/10/21359410_51353308_480.jpg,ISABEL MARANT,Kindsay panelled sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/68/87/70/21688770_51557254_480.jpg,Gucci,Gucci Run sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/54/80/66/21548066_51672384_480.jpg,Nike,"Dunk Low ""Floral Tapestry"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/20/94/65/90/20946590_50886955_480.jpg,adidas,"Handball Spezial ""Clear Pink"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/21/25/69/55/21256955_51144399_480.jpg,Balmain,B-Court Flip leather sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/45/50/78/21455078_51455810_480.jpg,Rick Owens DRKSHDW,X Converse DBL DRKSTAR Chuck 70 sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/25/67/34/20256734_50217921_480.jpg,Burberry,check-print lace-up sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/10/30/64/21103064_51202771_480.jpg,ASICS,"GEL-Kayano 14 ""Dark Grape"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/20/04/41/33/20044133_51484637_480.jpg,Dolce & Gabbana,crystal-embellished leather sneakers,others,shoes
https://cdn-images.farfetch-contents.com/19/72/48/78/19724878_44332248_480.jpg,Thom Browne,Tech Runner suede sneakers,others,shoes
https://cdn-images.farfetch-contents.com/16/95/91/28/16959128_40430816_480.jpg,New Balance,"550 ""White Red"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/20/78/75/77/20787577_51388212_480.jpg,Balenciaga,Speed 2.0 graffiti sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/19/03/53/20190353_50504818_480.jpg,Off-White,Out Of Office lace-up sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/53/48/68/21534868_51528234_480.jpg,Nike,"Dunk Low  ""Red Stardust"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/21/33/86/38/21338638_51326321_480.jpg,Alexander McQueen,Oversized colour-block sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/95/38/18/20953818_50921782_480.jpg,adidas,"Samba OG ""Green/White"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/20/61/79/02/20617902_51341566_480.jpg,Ferragamo,lace-up low-top sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/86/40/93/21864093_51661062_480.jpg,Gucci,Mac80 leather snekaers,others,shoes
https://cdn-images.farfetch-contents.com/20/97/41/97/20974197_51392336_480.jpg,Off-White,Out Of Office sneakers,others,shoes
https://cdn-images.farfetch-contents.com/19/78/36/62/19783662_50356761_480.jpg,Maison Margiela,Replica leather sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/50/93/74/21509374_51612929_480.jpg,Balenciaga,Track low-top sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/36/23/42/21362342_51311324_480.jpg,Burberry,checked low-top canvas sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/27/04/76/21270476_51219433_480.jpg,ISABEL MARANT,Brooklee hi-top suede sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/86/40/96/21864096_51659977_480.jpg,Gucci,Run GG crystal mesh sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/30/76/92/20307692_51213495_480.jpg,Alexander McQueen,Sprint Runner panelled sneakers,others,shoes
https://cdn-images.farfetch-contents.com/19/97/51/55/19975155_50188296_480.jpg,Alexander McQueen,Oversized glitter chunky sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/00/44/65/21004465_51362074_480.jpg,AMI Paris,Ami 1509 panelled sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/75/33/07/20753307_50625707_480.jpg,adidas,"Gazelle Indoor ""Collegiate"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/20/97/28/67/20972867_51392167_480.jpg,Off-White,Out Of Office sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/95/38/19/20953819_50921779_480.jpg,adidas,"Samba OG ""Beige/White"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/19/67/13/62/19671362_50498700_480.jpg,MM6 Maison Margiela X Salomon,logo-patch drawstring sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/75/84/56/20758456_50625746_480.jpg,ASICS,"Gel-Kayano 14 ""White Midnight"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/19/76/03/08/19760308_50846809_480.jpg,ISABEL MARANT,Beth low-top leather sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/49/33/77/21493377_51613048_480.jpg,Balenciaga,Track low-top sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/97/73/05/20977305_50954526_480.jpg,ASICS,"x Cecilie Bahnsen GT-2160 ""White"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/20/81/16/18/20811618_50691493_480.jpg,Gucci,Screener GG canvas sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/40/35/23/20403523_51449787_480.jpg,Lanvin,Curb lace-up sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/27/32/81/20273281_50251489_480.jpg,adidas,"Samba OG ""Court Green"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/20/20/76/37/20207637_47064785_480.jpg,Off-White,Odsy 2000 panelled sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/14/11/47/20141147_50471152_480.jpg,Off-White,Out Of Office leather sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/38/37/92/20383792_50399300_480.jpg,Moncler,Trailgrip GTX chunky sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/98/54/12/20985412_50971670_480.jpg,ASICS,"GEL-Kayano 14 ""Simply Taupe"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/21/22/93/02/21229302_51104321_480.jpg,Miu Miu,x New Balance 574 denim sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/80/24/74/20802474_50711267_480.jpg,AMIRI,Bone Runner leather sneakers,others,shoes
https://cdn-images.farfetch-contents.com/19/68/17/08/19681708_50613378_480.jpg,Tory Burch,Good Luck distressed-finish denim sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/81/16/19/20811619_50696143_480.jpg,Gucci,Screener GG-canvas sneakers,others,shoes
https://cdn-images.farfetch-contents.com/19/69/54/12/19695412_43976062_480.jpg,Jordan,"Jordan 1 Low SE ""Ice Blue"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/20/46/64/29/20466429_50626009_480.jpg,Marni,Pablo calf-hair sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/04/39/23/20043923_50402802_480.jpg,Dolce & Gabbana,Portofino low-top sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/18/89/01/20188901_50484335_480.jpg,Off-White,"Out Of Office ""Ooo"" low-top sneakers",others,shoes
https://cdn-images.farfetch-contents.com/20/73/54/63/20735463_51093449_480.jpg,Marc Jacobs,The Monogram Lazy Runner sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/08/53/81/20085381_51217164_480.jpg,Alexander McQueen,Oversized leather sneakers,others,shoes
https://cdn-images.farfetch-contents.com/19/75/32/59/19753259_50846668_480.jpg,Lanvin,Lite Curb suede sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/25/92/06/20259206_50206882_480.jpg,Gucci,Run suede sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/89/93/30/20899330_51363392_480.jpg,Valentino Garavani,Rockstud Untitled 57mm platform sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/85/59/34/20855934_50780081_480.jpg,ISABEL MARANT,Balskee high-top suede sneakers,others,shoes
https://cdn-images.farfetch-contents.com/19/99/18/37/19991837_50021753_480.jpg,Brunello Cucinelli,panelled low-top sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/25/69/52/21256952_51142110_480.jpg,Balmain,Unicorn chunky sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/36/08/23/20360823_50353594_480.jpg,Gucci,GG panelled sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/97/57/58/20975758_51024749_480.jpg,Dolce & Gabbana,panelled drawstring sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/31/97/36/20319736_50285215_480.jpg,adidas,"x Wales Bonner Samba ""Cream/ Yellow"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/20/98/93/69/20989369_51107844_480.jpg,Valentino Garavani,One Stud jacquard sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/94/40/09/20944009_51006084_480.jpg,Diesel,S-ukiyo V2 leather sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/13/41/99/20134199_45311387_480.jpg,Gucci,GG low-top sneakers,others,shoes
https://cdn-images.farfetch-contents.com/19/84/60/25/19846025_50632408_480.jpg,Golden Goose,Super-Star glitter-detail sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/22/59/98/20225998_50134554_480.jpg,Gucci,GG high-top sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/31/97/86/20319786_50384676_480.jpg,AMIRI,Skel Top leather sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/37/73/46/20377346_50433492_480.jpg,adidas,Gazelle Bold suede low-top sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/56/09/60/20560960_50563205_480.jpg,Lanvin,lace-up low-top sneakers ,others,shoes
https://cdn-images.farfetch-contents.com/20/14/11/46/20141146_50470880_480.jpg,Off-White,Out Of Office leather sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/15/55/54/20155554_50143289_480.jpg,Palm Angels,Racing Palm Web sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/81/15/86/20811586_50694632_480.jpg,Gucci,Screener GG canvas sneakers,others,shoes
https://cdn-images.farfetch-contents.com/19/83/78/49/19837849_50234736_480.jpg,Golden Goose,Running Sole low-top sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/28/21/07/20282107_50436651_480.jpg,Burberry,panelled lace-up suede sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/48/46/94/20484694_50470078_480.jpg,Versace,Trigreca low-top sneakers,others,shoes
https://cdn-images.farfetch-contents.com/19/78/28/87/19782887_50845404_480.jpg,Maison Margiela,Replica low-top sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/23/43/10/20234310_50149723_480.jpg,Burberry,check-pattern leather sneakers,others,shoes
https://cdn-images.farfetch-contents.com/19/97/51/60/19975160_50189000_480.jpg,Alexander McQueen,Oversized lizard-effect sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/52/78/36/20527836_50737493_480.jpg,Reebok LTD,Classic Leather panelled sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/27/42/51/20274251_50223184_480.jpg,adidas,"x Wales Bonner Samba ""Silver"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/20/01/00/71/20010071_50358808_480.jpg,Alexander McQueen,Seal Logo low-top sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/52/84/68/20528468_50737426_480.jpg,Reebok LTD,BB 4000 II leather sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/62/88/49/20628849_50528601_480.jpg,Nike,"Dunk Low ""Cacao Wow"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/20/09/85/10/20098510_45171487_480.jpg,Gucci,Mac80 low-top sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/14/11/57/20141157_50471051_480.jpg,Off-White,Out Of Office leather sneakers,others,shoes
https://cdn-images.farfetch-contents.com/19/99/27/36/19992736_50021245_480.jpg,Brunello Cucinelli,panelled low-top sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/31/92/98/21319298_51221704_480.jpg,Gucci,Ace low-top leather sneakers,others,shoes
https://cdn-images.farfetch-contents.com/19/46/97/12/19469712_43338949_480.jpg,Jordan,"Air Jordan 1 Mid ""Stealth"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/14/16/01/40/14160140_35977260_480.jpg,Axel Arigato,Clean 90 low-top sneakers,others,shoes
https://cdn-images.farfetch-contents.com/20/95/38/19/20953819_50921779_480.jpg,adidas,"Samba OG ""Beige/White"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/20/95/38/18/20953818_50921782_480.jpg,adidas,"Samba OG ""Green/White"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/20/91/95/27/20919527_50824275_480.jpg,adidas,"Handball Spezial ""Aluminium"" sneakers",others,shoes
https://cdn-images.farfetch-contents.com/20/67/56/87/20675687_50560781_480.jpg,adidas,Gazelle Indoor suede sneakers,others,shoes
https://cdn-images.farfetch-contents.com/21/35/79/35/21357935_51590240_480.jpg,adidas,"Gazelle Bold ""Cream Collegiate/Green"" sneakers",others,shoes
