image_urls,brand_names,descriptions,type,event
https://cdn-images.farfetch-contents.com/19/48/26/06/19482606_43793523_480.jpg ,There Was One,double-layer running bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/48/26/07/19482607_44438763_480.jpg ,There Was One,high-waisted cycling bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/48/19/42/19481942_43789078_480.jpg ,There Was One,high-waisted cycling bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/81/41/70/19814170_44380523_480.jpg ,Prada,Re-Nylon logo-embroidered bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/90/84/29/19908429_50265630_480.jpg ,Versace,La Greca pleated tennis skort,bottom,workout
https://cdn-images.farfetch-contents.com/19/90/81/69/19908169_50265897_480.jpg ,P.E Nation,World Tour skort,bottom,workout
https://cdn-images.farfetch-contents.com/19/38/35/43/19383543_50510816_480.jpg ,Rapha,Pro Team Bib cycling bottom,bottom,workout
https://cdn-images.farfetch-contents.com/20/24/11/02/20241102_51013880_480.jpg ,lululemon,Hotty Hot II running bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/64/93/86/19649386_50517603_480.jpg ,Outdoor Voices,"Hudson 4"" running bottom",bottom,workout
https://cdn-images.farfetch-contents.com/18/30/98/61/18309861_41116371_480.jpg ,J.Lindeberg,logo-print golf miniskirt,bottom,workout
https://cdn-images.farfetch-contents.com/19/64/93/84/19649384_50486562_480.jpg ,Outdoor Voices,"Thrive 5"" printed running bottom",bottom,workout
https://cdn-images.farfetch-contents.com/19/10/24/41/19102441_42448930_480.jpg ,Rapha,Classic jersey bib short,bottom,workout
https://cdn-images.farfetch-contents.com/20/67/41/41/20674141_51240322_480.jpg ,Ayda,Putting Green cycling bottom,bottom,workout
https://cdn-images.farfetch-contents.com/17/45/44/88/17454488_43414054_480.jpg ,District Vision,Vedana running bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/12/98/32/19129832_43509401_480.jpg ,Marysia,Morton scallop hem miniskirt,bottom,workout
https://cdn-images.farfetch-contents.com/19/65/10/92/19651092_50529384_480.jpg ,Outdoor Voices,Doing Things drawstring bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/67/25/78/19672578_50873733_480.jpg ,adidas Golf,Ultimate365 jersey skort,bottom,workout
https://cdn-images.farfetch-contents.com/20/24/03/83/20240383_50900995_480.jpg ,lululemon,Pace Rival tennis skirt ,bottom,workout
https://cdn-images.farfetch-contents.com/19/90/75/74/19907574_50153274_480.jpg ,P.E Nation,Oakmont running bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/64/93/97/19649397_45036877_480.jpg ,Outdoor Voices,high-waisted skorts,bottom,workout
https://cdn-images.farfetch-contents.com/18/64/19/49/18641949_43324180_480.jpg ,Satisfy,Justice logo-patch running bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/10/24/42/19102442_42436616_480.jpg ,Rapha,Pro Team bib bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/55/75/14/19557514_51327183_480.jpg ,District Vision,Pocketed cycling bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/02/25/79/19022579_45358264_480.jpg ,Satisfy,Rippy logo-patch running bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/90/66/36/19906636_50150840_480.jpg ,P.E Nation,Volley tennis skort,bottom,workout
https://cdn-images.farfetch-contents.com/19/53/58/93/19535893_43695386_480.jpg ,adidas by Stella McCartney,TruePace running bottom,bottom,workout
https://cdn-images.farfetch-contents.com/17/34/18/68/17341868_38429504_480.jpg ,Versace,La Greca elasticated-waist running bottom,bottom,workout
https://cdn-images.farfetch-contents.com/20/13/90/31/20139031_51246530_480.jpg ,Reebok,stretch-cotton cycling bottom,bottom,workout
https://cdn-images.farfetch-contents.com/20/14/01/09/20140109_51611435_480.jpg ,Reebok,Lux Bold floral-print bottom,bottom,workout
https://cdn-images.farfetch-contents.com/20/95/33/76/20953376_51046390_480.jpg ,On Running,mesh running bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/48/19/39/19481939_43794176_480.jpg ,There Was One,panelled cycling bottom,bottom,workout
https://cdn-images.farfetch-contents.com/21/25/03/61/21250361_51190814_480.jpg ,MISBHV,logo intarsia-knit cycling bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/91/20/84/19912084_44804901_480.jpg ,adidas by Stella McCartney,logo-waistband performance bottom,bottom,workout
https://cdn-images.farfetch-contents.com/20/86/43/50/20864350_50836608_480.jpg ,ENTIRE STUDIOS,Con Coulisse track bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/87/39/56/19873956_44738270_480.jpg ,adidas by Stella McCartney,logo-band layered running bottom,bottom,workout
https://cdn-images.farfetch-contents.com/17/59/06/41/17590641_36882063_480.jpg ,Off-White,logo-waistband running bottom,bottom,workout
https://cdn-images.farfetch-contents.com/20/24/11/12/20241112_50810649_480.jpg ,lululemon,Align 2'' high-waisted mini bottom,bottom,workout
https://cdn-images.farfetch-contents.com/20/25/47/05/20254705_50285536_480.jpg ,There Was One,knee-length cycling bottom,bottom,workout
https://cdn-images.farfetch-contents.com/20/89/07/40/20890740_50978251_480.jpg ,adidas by Stella McCartney,TruePurpose layered track bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/75/17/67/19751767_45064211_480.jpg ,lululemon,Hotty Hot running bottom ,bottom,workout
https://cdn-images.farfetch-contents.com/19/79/45/50/19794550_44487916_480.jpg ,Y-3,Firebird track skirt,bottom,workout
https://cdn-images.farfetch-contents.com/20/88/01/90/20880190_50874018_480.jpg ,Sporty & Rich,logo-waistband ribbed-knit biker bottom,bottom,workout
https://cdn-images.farfetch-contents.com/18/43/99/01/18439901_39672459_480.jpg ,AMIR SLAMA GYM,SLAMA GYM + MANLY running bottom,bottom,workout
https://cdn-images.farfetch-contents.com/18/43/99/08/18439908_39686119_480.jpg ,AMIR SLAMA GYM,SLAMA GYM + MANLY running bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/48/26/08/19482608_43770304_480.jpg ,There Was One,high-waisted cycling bottom,bottom,workout
https://cdn-images.farfetch-contents.com/20/25/39/38/20253938_50880674_480.jpg ,There Was One,elasticated-waist running bottom,bottom,workout
https://cdn-images.farfetch-contents.com/20/08/02/82/20080282_50086415_480.jpg ,adidas,metallic-finish running bottom,bottom,workout
https://cdn-images.farfetch-contents.com/20/89/15/74/20891574_51157650_480.jpg ,On Running,S H Movement cycling bottom,bottom,workout
https://cdn-images.farfetch-contents.com/20/91/93/60/20919360_51044427_480.jpg ,adidas by Stella McCartney,TruePace cycling bottom,bottom,workout
https://cdn-images.farfetch-contents.com/20/03/09/39/20030939_45129017_480.jpg ,Sporty & Rich,reflective logo-print cycling bottom ,bottom,workout
https://cdn-images.farfetch-contents.com/17/98/52/86/17985286_37960845_480.jpg ,Sporty & Rich,logo-print cycling bottom,bottom,workout
https://cdn-images.farfetch-contents.com/19/45/51/39/19455139_44095156_480.jpg ,Heron Preston,logo waistband cycling bottom,bottom,workout
