image_urls,brand_names,descriptions,type,event
https://cdn-images.farfetch-contents.com/19/48/26/04/19482604_43786442_480.jpg ,There Was One,mesh-inserts tank top,top,workout
https://cdn-images.farfetch-contents.com/19/48/19/33/19481933_44437636_480.jpg ,There Was One,short-sleeved cycling top,top,workout
https://cdn-images.farfetch-contents.com/19/48/19/37/19481937_43792078_480.jpg ,There Was One,racerback sports bra,top,workout
https://cdn-images.farfetch-contents.com/19/17/34/09/19173409_42213307_480.jpg ,Dolce & Gabbana,monogram-detail cropped top,top,workout
https://cdn-images.farfetch-contents.com/19/17/34/10/19173410_42214235_480.jpg ,Dolce & Gabbana,monogram-pattern short-sleeve cropped top,top,workout
https://cdn-images.farfetch-contents.com/19/64/94/11/19649411_44260276_480.jpg ,Moncler,polo-neck jumper,top,workout
https://cdn-images.farfetch-contents.com/19/50/20/46/19502046_45136306_480.jpg ,Moncler Grenoble,logo-patch high-neck top,top,workout
https://cdn-images.farfetch-contents.com/20/32/52/33/20325233_50373797_480.jpg ,Dolce & Gabbana,logo-waistband sports bra,top,workout
https://cdn-images.farfetch-contents.com/19/64/94/23/19649423_45075108_480.jpg ,Moncler,long-sleeve ribbed jumper,top,workout
https://cdn-images.farfetch-contents.com/16/86/46/28/16864628_50292344_480.jpg ,Palm Angels,logo print sports bra,top,workout
https://cdn-images.farfetch-contents.com/19/65/11/09/19651109_43972804_480.jpg ,Moncler,Black Embroidered Logo T-shirt,top,workout
https://cdn-images.farfetch-contents.com/19/28/35/06/19283506_50106103_480.jpg ,PUCCI,abstract-print sports top,top,workout
https://cdn-images.farfetch-contents.com/20/88/24/67/20882467_51025161_480.jpg ,We Norwegians,stripe-detail long-sleeve jumper,top,workout
https://cdn-images.farfetch-contents.com/16/98/37/17/16983717_36952001_480.jpg ,Canada Goose,Muskoka drawstring hoodie,top,workout
https://cdn-images.farfetch-contents.com/20/95/29/62/20952962_51542491_480.jpg ,Rapha,Classic cycling jersey top,top,workout
https://cdn-images.farfetch-contents.com/19/55/85/42/19558542_43653922_480.jpg ,Versace,Greca-motif sports bra,top,workout
https://cdn-images.farfetch-contents.com/18/84/32/63/18843263_45583966_480.jpg ,Marine Serre,All Over Moon cropped top ,top,workout
https://cdn-images.farfetch-contents.com/19/20/91/79/19209179_43988526_480.jpg ,Versace,Black Greca Print Vest Top,top,workout
https://cdn-images.farfetch-contents.com/15/30/88/65/15308865_36310922_480.jpg ,Pas Normal Studios,Mechanism cycling jersey top,top,workout
https://cdn-images.farfetch-contents.com/18/81/38/43/18813843_42061462_480.jpg ,Perfect Moment,graphic-print thermal top,top,workout
https://cdn-images.farfetch-contents.com/15/52/31/05/15523105_36184654_480.jpg ,Pas Normal Studios,Mechanism cycling jersey top,top,workout
https://cdn-images.farfetch-contents.com/19/10/50/91/19105091_42607190_480.jpg ,Pas Normal Studios,Mechanism cycling jersey top,top,workout
https://cdn-images.farfetch-contents.com/19/38/40/48/19384048_50511432_480.jpg ,Rapha,Pro Team logo-print cycling jersey,top,workout
https://cdn-images.farfetch-contents.com/19/60/43/95/19604395_44754188_480.jpg ,Pas Normal Studios,short-sleeve zip-up top,top,workout
https://cdn-images.farfetch-contents.com/19/67/35/81/19673581_50747815_480.jpg ,adidas Golf,Go-To piqué sleeveless polo shirt,top,workout
https://cdn-images.farfetch-contents.com/19/90/81/73/19908173_50172087_480.jpg ,P.E Nation,Long Range sports bra,top,workout
https://cdn-images.farfetch-contents.com/17/45/45/24/17454524_39620178_480.jpg ,District Vision,Citta training sports bra,top,workout
https://cdn-images.farfetch-contents.com/19/38/35/44/19383544_50495590_480.jpg ,Rapha,Pro Team cycling jersey top,top,workout
https://cdn-images.farfetch-contents.com/17/92/11/20/17921120_40612385_480.jpg ,lululemon,Swiftly Tech 2.0 training T-shirt,top,workout
https://cdn-images.farfetch-contents.com/20/88/24/71/20882471_51029040_480.jpg ,We Norwegians,chevron-pattern long-sleeve top,top,workout
https://cdn-images.farfetch-contents.com/19/10/24/36/19102436_42411031_480.jpg ,Rapha,contrast-stripe jersey,top,workout
https://cdn-images.farfetch-contents.com/18/31/02/07/18310207_41169658_480.jpg ,J.Lindeberg,long-sleeve performance top,top,workout
https://cdn-images.farfetch-contents.com/19/90/66/31/19906631_50159889_480.jpg ,P.E Nation,Dedication long-sleeve top,top,workout
https://cdn-images.farfetch-contents.com/20/28/03/99/20280399_50541555_480.jpg ,J.Lindeberg,Tilda polo shirt,top,workout
https://cdn-images.farfetch-contents.com/19/90/83/80/19908380_50570789_480.jpg ,Rapha,Brevet long-sleeve cycling jersey,top,workout
https://cdn-images.farfetch-contents.com/19/90/81/84/19908184_50158155_480.jpg ,P.E Nation,Oakmont sports bra,top,workout
https://cdn-images.farfetch-contents.com/19/67/35/86/19673586_50702691_480.jpg ,adidas Golf,Ultimate365 solid polo shirt,top,workout
https://cdn-images.farfetch-contents.com/19/38/26/87/19382687_50503183_480.jpg ,Rapha,x Browns Pro-team cycling jacket,top,workout
https://cdn-images.farfetch-contents.com/20/47/18/74/20471874_51172264_480.jpg ,Versace,Greca-motif stretch-cotton sports bra,top,workout
https://cdn-images.farfetch-contents.com/20/46/91/94/20469194_51128581_480.jpg ,adidas Tennis,AEROREADY Pro Seamless tank top,top,workout
https://cdn-images.farfetch-contents.com/19/90/81/82/19908182_50161713_480.jpg ,P.E Nation,graphic-print cotton hoodie ,top,workout
https://cdn-images.farfetch-contents.com/19/60/55/07/19605507_44736773_480.jpg ,Pas Normal Studios,Mechanism cycling jersey top,top,workout
https://cdn-images.farfetch-contents.com/19/65/10/98/19651098_50342424_480.jpg ,Outdoor Voices,FreeForm contrast-trimmed sports bra,top,workout
https://cdn-images.farfetch-contents.com/19/77/42/08/19774208_51046842_480.jpg ,On Running,Focus sleeveless top,top,workout
https://cdn-images.farfetch-contents.com/19/99/79/09/19997909_51508404_480.jpg ,MISBHV,Sport Europa cropped top,top,workout
https://cdn-images.farfetch-contents.com/19/96/26/17/19962617_44952569_480.jpg ,Marine Serre,embroidered-logo sports bra,top,workout
https://cdn-images.farfetch-contents.com/19/77/42/04/19774204_51421998_480.jpg ,On Running,Focus Crop jersey training top,top,workout
https://cdn-images.farfetch-contents.com/19/65/10/94/19651094_50496420_480.jpg ,Outdoor Voices,Move Free training tank top ,top,workout
https://cdn-images.farfetch-contents.com/19/60/43/96/19604396_44751929_480.jpg ,Pas Normal Studios,zip-up performance top,top,workout
https://cdn-images.farfetch-contents.com/19/64/93/93/19649393_45068265_480.jpg ,Outdoor Voices,Birdie cropped polo shirt,top,workout
https://cdn-images.farfetch-contents.com/20/27/96/06/20279606_50608823_480.jpg ,J.Lindeberg,sleeveless stretch top,top,workout
https://cdn-images.farfetch-contents.com/20/28/04/00/20280400_50517305_480.jpg ,J.Lindeberg,logo-print compression top,top,workout
https://cdn-images.farfetch-contents.com/19/38/26/88/19382688_50499081_480.jpg ,Rapha,Pro Team cycling jersey top,top,workout
https://cdn-images.farfetch-contents.com/19/90/84/26/19908426_50935562_480.jpg ,Rapha,Pro Team cycling jersey top,top,workout
https://cdn-images.farfetch-contents.com/19/60/54/99/19605499_44763651_480.jpg ,Pas Normal Studios,logo-print long-sleeve top,top,workout
https://cdn-images.farfetch-contents.com/19/67/35/83/19673583_50761911_480.jpg ,adidas Golf,Ultimate365 logo-print polo shirt,top,workout
https://cdn-images.farfetch-contents.com/19/65/10/97/19651097_50340308_480.jpg ,Outdoor Voices,FreeForm Scoop yoga sports bra,top,workout
https://cdn-images.farfetch-contents.com/19/65/11/03/19651103_45041117_480.jpg ,Outdoor Voices,Everyday short-sleeve T-shirt ,top,workout
https://cdn-images.farfetch-contents.com/19/90/83/79/19908379_50491859_480.jpg ,Rapha,Pro Team Infinium jersey top,top,workout
https://cdn-images.farfetch-contents.com/20/24/11/07/20241107_50904152_480.jpg ,lululemon,Swiftly cotton polo shirt ,top,workout
https://cdn-images.farfetch-contents.com/20/67/41/45/20674145_51181087_480.jpg ,Ayda,The Gwen panelled sports bra,top,workout
https://cdn-images.farfetch-contents.com/19/65/10/91/19651091_50487882_480.jpg ,Outdoor Voices,Doing Things Thrive printed sports bra,top,workout
https://cdn-images.farfetch-contents.com/19/65/10/93/19651093_50517551_480.jpg ,Outdoor Voices,ThinkFast perforated running T-shirt,top,workout
https://cdn-images.farfetch-contents.com/19/38/35/41/19383541_50476766_480.jpg ,Rapha,x Browns Pro Team cycling jacket,top,workout
https://cdn-images.farfetch-contents.com/19/60/60/02/19606002_44751660_480.jpg ,Pas Normal Studios,wave zip-up performance top,top,workout
https://cdn-images.farfetch-contents.com/19/67/35/80/19673580_50719294_480.jpg ,adidas Golf,HEAT.RDY golf polo shirt,top,workout
https://cdn-images.farfetch-contents.com/20/25/43/30/20254330_50287927_480.jpg ,Versace,Greca-motif sports bra,top,workout
https://cdn-images.farfetch-contents.com/19/90/84/24/19908424_50570432_480.jpg ,Rapha,Brevet performance top,top,workout
https://cdn-images.farfetch-contents.com/19/90/66/24/19906624_50668334_480.jpg ,P.E Nation,logo-print short-sleeves performance T-shirt,top,workout
https://cdn-images.farfetch-contents.com/21/31/91/89/21319189_51557183_480.jpg ,lululemon,Ebb cropped tank top,top,workout
https://cdn-images.farfetch-contents.com/20/88/24/69/20882469_51023560_480.jpg ,We Norwegians,panelled piqué ski base layer,top,workout
https://cdn-images.farfetch-contents.com/19/02/40/10/19024010_50017726_480.jpg ,Satisfy,SoftCell cotton hoodie,top,workout
https://cdn-images.farfetch-contents.com/19/34/28/37/19342837_43541089_480.jpg ,lululemon,Scuba half-zip hoodie,top,workout
https://cdn-images.farfetch-contents.com/19/90/84/25/19908425_50506928_480.jpg ,Rapha,Pro Team training jersey top,top,workout
https://cdn-images.farfetch-contents.com/20/67/41/38/20674138_50802527_480.jpg ,Ayda,Milo colour-block sports bra,top,workout
https://cdn-images.farfetch-contents.com/20/67/41/42/20674142_50712409_480.jpg ,Ayda,Social Climber cotton sweatshirt,top,workout
https://cdn-images.farfetch-contents.com/19/90/81/79/19908179_50158877_480.jpg ,P.E Nation,Stardust logo-print T-shirt ,top,workout
https://cdn-images.farfetch-contents.com/20/67/41/40/20674140_50712748_480.jpg ,Ayda,Volley logo-underband sports Bra,top,workout
https://cdn-images.farfetch-contents.com/19/90/84/27/19908427_50949722_480.jpg ,Rapha,Pro Team cycling jersey top,top,workout
https://cdn-images.farfetch-contents.com/20/01/72/86/20017286_51284737_480.jpg ,Reebok,crew-neck cotton T-shirt,top,workout
https://cdn-images.farfetch-contents.com/19/64/93/98/19649398_45031931_480.jpg ,Outdoor Voices,Double Time training sports bra,top,workout
https://cdn-images.farfetch-contents.com/19/55/75/15/19557515_51326729_480.jpg ,District Vision,Light Support sports bra,top,workout
