image_urls,brand_names,descriptions,type,event
https://cdn-images.farfetch-contents.com/19/17/16/45/19171645_42242410_480.jpg ,Dolce & Gabbana,logo-print cotton leggings,bottom,workout
https://cdn-images.farfetch-contents.com/19/28/43/79/19284379_50116647_480.jpg ,PUCCI,Marmo-print leggings,bottom,workout
https://cdn-images.farfetch-contents.com/20/15/91/28/20159128_50189131_480.jpg ,PUCCI,Iride-print high-waisted leggings,bottom,workout
https://cdn-images.farfetch-contents.com/20/82/13/54/20821354_50848262_480.jpg ,Goldbergh,Brooke ski bottom,bottom,workout
https://cdn-images.farfetch-contents.com/20/15/76/14/20157614_50839504_480.jpg ,PUCCI,Iride-print leggings,bottom,workout
https://cdn-images.farfetch-contents.com/19/20/86/44/19208644_44191180_480.jpg ,Versace,panelled-monogram leggings,bottom,workout
https://cdn-images.farfetch-contents.com/16/86/53/62/16865362_43801950_480.jpg ,Palm Angels,logo-waistband cropped legging,bottom,workout
https://cdn-images.farfetch-contents.com/18/81/38/40/18813840_42064436_480.jpg ,Perfect Moment,graphic-print thermal leggings,bottom,workout
https://cdn-images.farfetch-contents.com/18/81/38/30/18813830_42356282_480.jpg ,Perfect Moment,chevron-print flared bottom,bottom,workout
https://cdn-images.farfetch-contents.com/18/64/33/37/18643337_43889153_480.jpg ,Missoni,side-stripe track pants,bottom,workout
https://cdn-images.farfetch-contents.com/18/83/81/57/18838157_44285060_480.jpg ,Marine Serre,Regenerated Active cropped leggings,bottom,workout
https://cdn-images.farfetch-contents.com/20/50/44/64/20504464_51224871_480.jpg ,Missoni,logo-patch knitted track pants,bottom,workout
https://cdn-images.farfetch-contents.com/20/76/24/30/20762430_50873265_480.jpg ,BOGNER FIRE+ICE,Eila fleece tack pants,bottom,workout
https://cdn-images.farfetch-contents.com/18/70/11/32/18701132_41092197_480.jpg ,Moncler Grenoble,Day-namic performance leggings,bottom,workout
https://cdn-images.farfetch-contents.com/21/31/91/96/21319196_51557836_480.jpg ,lululemon,Align 25 inch yoga leggings,bottom,workout
https://cdn-images.farfetch-contents.com/19/90/66/32/19906632_50157827_480.jpg ,P.E Nation,Recharge high-waisted leggings,bottom,workout
https://cdn-images.farfetch-contents.com/20/88/24/68/20882468_51023313_480.jpg ,We Norwegians,Voss striped merino-blend ski leggings,bottom,workout
